iterations,fitness,time,fevals
0,499.0,2.7958e-05,11
10,497.0,7.8715e-05,21
20,493.0,0.00010056,31
30,489.0,0.000121909,41
40,491.0,0.000141674,51
50,495.0,0.000161533,61
60,495.0,0.000181615,71
70,499.0,0.000202409,81
80,501.0,0.000221819,91
90,501.0,0.000241325,101
100,501.0,0.000261762,111
110,505.0,0.000282221,121
120,509.0,0.000303315,131
130,511.0,0.000324186,141
140,513.0,0.000344075,151
150,519.0,0.000394909,161
160,523.0,0.000421893,171
170,523.0,0.000472245,181
180,527.0,0.000497809,191
190,531.0,0.000549906,201
200,533.0,0.00057524,211
210,537.0,0.000625406,221
220,539.0,0.000651975,231
230,539.0,0.00074592,241
240,541.0,0.000777954,251
250,543.0,0.000804974,261
260,543.0,0.00083176,271
270,547.0,0.000862633,281
280,551.0,0.00088336,291
290,553.0,0.000903081,301
300,553.0,0.000923494,311
310,555.0,0.000943658,321
320,559.0,0.000963968,331
330,559.0,0.001015265,341
340,561.0,0.001039424,351
350,563.0,0.001061541,361
360,569.0,0.001087196,371
370,569.0,0.001152337,381
380,569.0,0.001191432,391
390,571.0,0.001230025,401
400,575.0,0.001286717,411
410,577.0,0.001342704,421
420,577.0,0.001410235,431
430,579.0,0.001453591,441
440,583.0,0.001496403,451
450,583.0,0.001543098,461
460,587.0,0.001592117,471
470,591.0,0.001644574,481
480,591.0,0.001703429,491
490,591.0,0.001791559,501
500,593.0,0.001845855,511
510,593.0,0.001911013,521
520,593.0,0.001966615,531
530,595.0,0.002040981,541
540,595.0,0.002090902,551
550,597.0,0.002161463,561
560,597.0,0.002212065,571
570,597.0,0.002280147,581
580,599.0,0.002316545,591
590,601.0,0.00239462,601
600,603.0,0.002458929,611
610,605.0,0.00249461,621
620,609.0,0.002558549,631
630,611.0,0.002579706,641
640,615.0,0.002600333,651
650,617.0,0.002621739,661
660,619.0,0.002647272,671
670,619.0,0.002668855,681
680,619.0,0.002689471,691
690,619.0,0.002709001,701
700,619.0,0.002728487,711
710,621.0,0.002750233,721
720,623.0,0.002770066,731
730,623.0,0.002796094,741
740,623.0,0.002844844,751
750,625.0,0.002869795,761
760,625.0,0.002918468,771
770,627.0,0.002945816,781
780,629.0,0.002996113,791
790,629.0,0.003023118,801
800,631.0,0.003049264,811
810,633.0,0.003098582,821
820,635.0,0.003124526,831
830,637.0,0.003173036,841
840,639.0,0.003197961,851
850,639.0,0.00324872,861
860,641.0,0.003274221,871
870,645.0,0.003321809,881
880,647.0,0.00334687,891
890,649.0,0.003395312,901
