iterations,fitness,time,fevals
0,533.0,0.002318058,286
10,532.0,0.004452912,473
20,530.0,0.005935619,660
30,538.0,0.011025978,847
40,534.0,0.013053371,1035
50,537.0,0.014237575,1220
60,538.0,0.01535234,1406
70,536.0,0.016473583,1592
80,538.0,0.017830351,1778
90,536.0,0.019160891,1962
100,534.0,0.022179029,2147
110,536.0,0.027577123,2335
120,536.0,0.029170219,2524
130,540.0,0.030280589,2706
140,537.0,0.031390507,2896
150,538.0,0.032556922,3078
160,540.0,0.033781279,3267
170,536.0,0.034906931,3457
180,540.0,0.036001604,3640
190,536.0,0.037104297,3827
200,536.0,0.038407039,4017
210,540.0,0.039641567,4201
220,538.0,0.042946569,4387
230,536.0,0.044067892,4581
240,538.0,0.045197677,4763
250,538.0,0.046322808,4940
260,534.0,0.047558265,5122
270,534.0,0.048680456,5306
280,534.0,0.050640636,5498
290,534.0,0.055628987,5681
300,536.0,0.05728409,5872
310,538.0,0.059316426,6049
320,538.0,0.061928341,6235
330,540.0,0.063174683,6415
340,536.0,0.066793348,6598
350,536.0,0.07024376,6784
360,534.0,0.071576512,6972
370,536.0,0.07272231,7161
380,534.0,0.074042858,7350
390,536.0,0.075326113,7537
400,538.0,0.076562666,7724
410,534.0,0.077820089,7907
420,538.0,0.079533607,8095
430,534.0,0.082962898,8282
440,532.0,0.086330669,8473
450,534.0,0.08771419,8661
460,534.0,0.088880439,8848
470,536.0,0.090039375,9035
480,534.0,0.091169193,9219
490,537.0,0.092378073,9407
500,536.0,0.097111703,9585
510,538.0,0.099759409,9770
520,536.0,0.105983594,9955
530,538.0,0.107292051,10143
540,538.0,0.110766665,10328
550,538.0,0.114405158,10518
560,538.0,0.115932629,10705
570,537.0,0.117198766,10891
580,538.0,0.118540247,11078
590,536.0,0.120506702,11263
600,537.0,0.122529382,11451
610,539.0,0.128555047,11636
620,539.0,0.13045724,11822
630,539.0,0.131755831,12009
640,535.0,0.133365214,12196
650,533.0,0.134763411,12387
660,534.0,0.136203753,12578
670,534.0,0.140113123,12760
680,534.0,0.141256244,12945
690,535.0,0.142397476,13129
700,535.0,0.143589937,13313
710,535.0,0.144788057,13493
720,536.0,0.145907939,13681
730,536.0,0.147006113,13866
740,538.0,0.148111668,14055
750,536.0,0.149206519,14237
760,536.0,0.150483285,14422
770,536.0,0.151695322,14610
780,536.0,0.157549433,14791
790,538.0,0.15970771,14976
800,540.0,0.161117352,15158
810,540.0,0.16444324,15348
820,540.0,0.166761832,15534
830,538.0,0.1714141,15719
840,536.0,0.172867246,15905
850,540.0,0.174049535,16096
860,536.0,0.176634718,16282
870,538.0,0.177954039,16474
880,542.0,0.179097867,16659
890,540.0,0.182583565,16845
