iterations,fitness,time,fevals
0,542.0,0.003180132,645
10,544.0,0.005732579,1190
20,542.0,0.008660995,1746
30,546.0,0.011872326,2290
40,556.0,0.013945943,2839
50,564.0,0.016064665,3382
60,558.0,0.01794379,3925
70,558.0,0.019843877,4479
80,556.0,0.02167775,5020
90,552.0,0.023610703,5571
100,560.0,0.029966605,6114
110,562.0,0.032300758,6668
120,562.0,0.035284866,7222
130,564.0,0.037188795,7776
140,572.0,0.03954296,8323
150,576.0,0.044457076,8868
160,574.0,0.046353615,9415
170,572.0,0.048156105,9973
180,572.0,0.050547367,10521
190,574.0,0.053559933,11069
200,570.0,0.058844449,11618
210,570.0,0.060927717,12168
220,574.0,0.062841869,12709
230,576.0,0.064588796,13268
240,572.0,0.066417555,13825
250,574.0,0.068387747,14371
260,572.0,0.071374326,14924
270,570.0,0.075635008,15471
280,572.0,0.081181608,16018
290,570.0,0.089046091,16564
300,572.0,0.096173447,17108
310,572.0,0.1054972,17655
320,572.0,0.111596661,18203
330,574.0,0.120223139,18751
340,572.0,0.125852317,19302
350,574.0,0.131461244,19853
360,574.0,0.137596984,20404
370,572.0,0.143424081,20951
380,576.0,0.15134743,21495
390,574.0,0.158698944,22044
400,574.0,0.166130238,22591
410,576.0,0.172990776,23141
420,576.0,0.179133274,23697
430,574.0,0.188066707,24247
440,574.0,0.194079373,24793
450,576.0,0.199827017,25346
460,576.0,0.206136236,25894
470,576.0,0.213271909,26442
480,574.0,0.219857893,26983
490,572.0,0.226320684,27533
500,574.0,0.234829854,28091
510,572.0,0.240707313,28639
520,572.0,0.24712537,29188
530,572.0,0.253213426,29729
540,570.0,0.261096596,30277
550,570.0,0.268573226,30816
560,570.0,0.275669977,31364
570,570.0,0.282665391,31909
580,570.0,0.289145939,32455
590,568.0,0.297151654,33000
600,570.0,0.3028027,33556
610,570.0,0.310659596,34108
620,570.0,0.312386409,34652
630,568.0,0.314128293,35200
640,568.0,0.315832837,35744
650,569.0,0.317571174,36300
660,568.0,0.31930398,36843
670,570.0,0.32132214,37399
680,572.0,0.326533743,37943
690,568.0,0.328722715,38488
700,568.0,0.331723336,39036
710,570.0,0.333436684,39575
720,570.0,0.33529655,40122
730,568.0,0.339547232,40667
740,566.0,0.34274751,41220
750,568.0,0.344979149,41771
760,566.0,0.347853823,42319
770,568.0,0.349688106,42865
780,570.0,0.352742557,43420
790,572.0,0.35722553,43967
800,570.0,0.35900045,44521
810,572.0,0.360746077,45075
820,570.0,0.362479794,45623
830,570.0,0.364681148,46172
840,572.0,0.36729503,46719
850,572.0,0.369257736,47271
860,574.0,0.370998318,47810
870,570.0,0.372751605,48367
880,572.0,0.37473743,48912
890,576.0,0.376572928,49457
