iterations,fitness,time,fevals
0,529.0,0.004042097,653
10,529.0,0.007464294,1197
20,535.0,0.010695008,1748
30,538.0,0.017460087,2299
40,537.0,0.019779107,2839
50,533.0,0.021934225,3393
60,526.0,0.024265233,3936
70,526.0,0.026726478,4487
80,519.0,0.02985456,5027
90,521.0,0.032099398,5582
100,528.0,0.033978853,6133
110,527.0,0.035831345,6685
120,525.0,0.037679792,7230
130,516.0,0.039495466,7779
140,515.0,0.041408781,8320
150,519.0,0.043210374,8873
160,517.0,0.045070189,9418
170,517.0,0.046912339,9964
180,518.0,0.04888813,10512
190,517.0,0.051225717,11063
200,515.0,0.053227537,11603
210,522.0,0.055238304,12147
220,520.0,0.057877468,12703
230,518.0,0.059665181,13241
240,522.0,0.061599752,13785
250,520.0,0.063461516,14337
260,522.0,0.065340697,14879
270,524.0,0.067278272,15437
280,522.0,0.069704923,15982
290,522.0,0.071539957,16523
300,522.0,0.073293113,17066
310,524.0,0.075031252,17621
320,522.0,0.076805772,18163
330,524.0,0.078687291,18712
340,522.0,0.080484519,19258
350,522.0,0.082265433,19808
360,522.0,0.08395961,20352
370,522.0,0.086023303,20895
380,522.0,0.088237058,21445
390,524.0,0.090476764,21992
400,524.0,0.092206709,22537
410,522.0,0.093926952,23079
420,522.0,0.095664178,23622
430,520.0,0.097390303,24163
440,524.0,0.099113118,24715
450,524.0,0.100871802,25268
460,526.0,0.102734767,25817
470,526.0,0.104692875,26362
480,530.0,0.107754326,26904
490,528.0,0.109510627,27454
500,530.0,0.111223871,28006
510,526.0,0.113170103,28556
520,526.0,0.115034076,29105
530,524.0,0.116755365,29659
540,524.0,0.118524042,30201
550,524.0,0.120223194,30747
560,524.0,0.122306618,31299
570,524.0,0.125971275,31843
580,526.0,0.12791907,32392
590,524.0,0.130413127,32939
600,520.0,0.132815167,33482
610,522.0,0.134827126,34019
620,518.0,0.136848141,34564
630,518.0,0.138664019,35112
640,518.0,0.141247604,35657
650,520.0,0.143273198,36208
660,520.0,0.146042954,36750
670,522.0,0.147847593,37297
680,522.0,0.149632009,37845
690,520.0,0.151562105,38396
700,518.0,0.153438408,38944
710,518.0,0.155202848,39495
720,520.0,0.156996206,40043
730,524.0,0.158828647,40588
740,520.0,0.160846347,41135
750,522.0,0.162737533,41681
760,520.0,0.165273699,42233
770,520.0,0.167036984,42769
780,520.0,0.168911051,43308
790,518.0,0.17068866,43849
800,518.0,0.17249465,44394
810,520.0,0.174285482,44937
820,520.0,0.176012248,45498
830,518.0,0.177929426,46045
840,518.0,0.180004066,46594
850,518.0,0.182558667,47144
860,520.0,0.184505327,47692
870,520.0,0.186327437,48244
880,520.0,0.188233688,48795
890,520.0,0.190073107,49341
