k,PenDigits log-likelihood
2,-1.72558620168616
3,0.2500500102552495
4,1.1381557553062183
5,1.5092951967551385
6,1.5655192169005527
7,1.561946242355195
8,1.9044068244393049
9,1.9448107617256518
10,1.955686768226642
15,2.058108737205387
20,2.0711022666424617
25,2.055923262089328
30,2.079023418053855
35,2.1133098459809005
40,2.123449123586817
