k,PenDigits BIC
2,18679.06849064544
3,-2546.9852764259986
4,-12060.33591508739
5,-16005.959463954716
6,-16559.943925383286
7,-16469.91475399224
8,-20106.66698750056
9,-20490.269156536975
10,-20555.855511015092
15,-21401.198939228463
20,-21283.398073578042
25,-20862.17901685308
30,-20853.22651890332
35,-20964.750169989886
40,-20816.209012117895
