k,Spambase BIC
2,2439.7205648261906
3,-17454.00559109996
4,-23361.81212094209
5,-37732.50489357102
6,-52635.25211534488
7,-58451.80867719884
8,-60163.00093808922
9,-59677.38016515366
10,-60487.6081463202
15,-67508.2525155153
20,-69824.72959871934
25,-77265.44769138334
30,-71130.92373462066
35,-74939.60175407455
40,-76521.57323198962
