k,Spambase sse (left)
2,25171.810238971142
3,22624.97392137245
4,20571.56956865595
5,19046.351806146242
6,17529.38340323531
7,16298.750438061896
8,14973.922325992758
9,13889.709890494189
10,12802.258055905912
15,9211.470817810607
20,7623.4593139348235
25,6519.817037203082
30,5728.4816281004205
35,5171.272323798963
40,4688.147177412806
