k,PenDigits sse (left)
2,2225.199148106226
3,1296.9884888267513
4,860.4098231378666
5,650.5761621247751
6,508.6056002450716
7,432.79470265407986
8,379.3713719933584
9,326.91949009085806
10,297.2163907956466
15,178.1761960095304
20,130.60753270350963
25,99.331200301971
30,78.61798876281054
35,67.49050150928463
40,57.094167512087566
