k,Spambase log-likelihood
2,-0.18326177254987766
3,4.409545377818162
4,5.89988588531042
5,9.26753035082992
6,12.753199317047052
7,14.223298039271302
8,14.782712577608338
9,14.854812778361978
10,15.214368337168436
15,17.67086495625893
20,19.08384620578619
25,21.633526880659495
30,21.171840641285534
35,22.9158336335479
40,24.165881075335815
