,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.615168571472168,0.7957411050423189,0.005916595458984375,0.00039089966106027634,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.25570054945054943,0.24561373092926492,0.1982142857142857,0.15436893203883498,0.21805823680823677,0.2144673566564201,0.036225988263523655,288,0.26202786704205056,0.22986397749863224,0.19977678571428575,0.15942028985507245,0.21852678571428572,0.21392314116486535,0.03394126877801718
1,1.1601271152496337,0.25909219375819453,0.0061051368713378905,0.00034920056442481004,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",0.2537087912087912,0.2692307692307692,0.27884015256588074,0.2986737170596394,0.2823801089577789,0.27653046591569186,0.014869378672018272,273,0.26571505948114565,0.2711259079903147,0.2727190215929162,0.30854270768248376,0.2841215193704601,0.2804448432234641,0.015274196132624937
2,1.1738126754760743,0.2290485776553206,0.0060294151306152345,0.00021272471481899167,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",0.2994505494505495,0.32362637362637364,0.3330963938973648,0.3372919556171983,0.3353967525084029,0.32573480771969016,0.01399305837588071,253,0.3270884829866348,0.3285373789346247,0.3275958141792703,0.3406554673883801,0.3246162973295435,0.32969868816369063,0.005629664230765527
3,1.6523961544036865,0.399459563674777,0.0069618701934814455,0.0021498707813715017,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.3348901098901099,0.3554284914115011,0.3460038141470181,0.35113557558945907,0.3854195561719833,0.35454482607790744,0.016875379217834968,227,0.3566406659834142,0.35004827941257427,0.34755860741925104,0.3618027962527787,0.3694980465698613,0.35710967912757596,0.007959941033423977
4,1.9035580158233643,0.9277346058240191,0.006717777252197266,0.00205059311531909,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.39306865700671006,0.37898018243892034,0.3704230235783634,0.36623613037447994,0.404013522884882,0.3825513496398375,0.014112130985910408,204,0.4205262476306122,0.38355457556700306,0.36203195778025626,0.3802108045675288,0.38357926186808133,0.3859805694826963,0.019036185505972185
5,1.5994335174560548,0.5158520611593909,0.00709075927734375,0.0012182296470125082,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.3629807692307692,0.4067140990077883,0.42431518723994455,0.4217926490984743,0.406157848208819,0.40433967654172104,0.02204434646848524,197,0.3779651960744484,0.40899349679867397,0.4210029189350559,0.43007624673545003,0.38789946075348486,0.4051874638594226,0.019616283714209662
6,1.4054031848907471,0.19964927050444495,0.007317733764648437,0.0010890703628332167,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.40938138189244383,0.4162327963298837,0.44818828016643547,0.4117024965325936,0.43653178143469396,0.424379491301743,0.015270624095700147,171,0.42823503416038855,0.42039736165001085,0.44805827218796695,0.4187500186808278,0.42024472173010885,0.4271370816818606,0.010974269811093786
7,1.6368321895599365,0.19529875246245187,0.006493186950683594,0.00033600209815252296,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.4654909802586794,0.4371085831644084,0.44951456310679616,0.4473040915395285,0.5017822000224912,0.46022201270998003,0.022656349517346637,142,0.4772999593760072,0.4319948095066905,0.4515344602007578,0.46411956967634477,0.47951926209870255,0.4608936121717006,0.017602411122909577
8,1.4416953086853028,0.39419383417293,0.0072516918182373045,0.0004520031554515285,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.43994213750850925,0.4829623653045984,0.48652045769764213,0.45980409153952845,0.49474953455535975,0.47275648569921697,0.020124754865323637,134,0.46041300704293825,0.4844779006000929,0.49350972140811616,0.47066280519260484,0.4744040014035654,0.4766934871294636,0.011402172860965043
9,1.96637282371521,0.4869632299200676,0.008304452896118164,0.0009932773200395178,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.5019321939122825,0.5101134908780539,0.542120319001387,0.5384015256588073,0.5316254014069547,0.5247966118089672,0.015949977978231274,113,0.518806408955004,0.5107819104527972,0.5545033815696507,0.5544554411810441,0.5187449689607724,0.5314584222238536,0.019021863761541098
10,2.004276990890503,0.4789347149924565,0.00873422622680664,0.0012610930632363292,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",0.5526159681026938,0.5541102101781713,0.5306692094313454,0.5343619972260749,0.570677065762017,0.5484923138448459,0.01453178130387063,32,0.558713170985141,0.5488902991494884,0.5358989321517564,0.5255604969183956,0.5419202782051532,0.5421966354819869,0.011261435301129632
