,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,2.931090259552002,0.516828593820468,0.004889440536499023,0.00039555429725199467,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.4472369444714578,0.5069234770084284,0.46971220527045776,0.48784674063800276,0.3969941335232597,0.46176942838733287,0.03789652517338231,271,0.4806239113983467,0.4860642831141637,0.4928203818476269,0.48310138395922225,0.4230642334103,0.47313483874593193,0.025366020146007192
1,2.1871874809265135,0.9477566019905272,0.005079078674316406,0.0007915037411835418,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 3}",0.4632664348925411,0.4684739411074363,0.4124653259361998,0.45987343966712896,0.4751086297809598,0.45585301883323726,0.022269588959663675,275,0.5008017485684803,0.45510640327381824,0.4011334181862338,0.45525825748378745,0.47351760654666136,0.4571634868117963,0.032615901652742744
2,2.8919387340545653,0.5076318775078082,0.005499029159545898,0.0004515302105064335,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 4}",0.5233230817854712,0.5359530033073723,0.5001040221914009,0.5105235783633842,0.5263586922567504,0.5192688525795132,0.012557572663708735,105,0.5202017700870941,0.5198278554437448,0.5238668471782298,0.5157186871368946,0.5168148200175228,0.5192859959726972,0.0028617775809318493
3,2.206957530975342,0.896382361052418,0.006057596206665039,0.000714979255009096,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.5124769036273461,0.43645577723247625,0.40794036061026356,0.5218273231622746,0.5347752745810997,0.48268982327097676,0.05068390056916349,256,0.5264045750253235,0.4129624208791992,0.40274719234312173,0.5225207141617055,0.5268345964027682,0.47829389976242365,0.05762352740236837
4,2.9115160942077636,0.6346952332229084,0.005792856216430664,0.0004016063975767779,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 6}",0.5177811679470972,0.5345607062840072,0.5098647711511789,0.5341972954230236,0.5232188933038446,0.5239246125858495,0.009533041943566559,82,0.5225836142835739,0.5342726234733459,0.5263688689525841,0.5377541558977524,0.510618795371836,0.5263196115958184,0.00953388623406583
5,2.542580223083496,0.8455820671835897,0.0063533782958984375,0.0009313770205795402,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 7}",0.5323154721384811,0.5315107222874212,0.49564840499306523,0.5302791262135922,0.49592970224038185,0.5171710318394226,0.017436920717804155,118,0.5403985140257922,0.5225468836000297,0.5153779105772023,0.5390472220374661,0.5008774935370057,0.5236496047554992,0.014871573874878618
6,2.4940069198608397,0.7580825396520721,0.006978225708007812,0.0015596631846439223,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 8}",0.5189858261207818,0.5190887389309718,0.483607836338419,0.5232229542302359,0.5385955129887167,0.5167008531068505,0.018025379985602233,121,0.5252409612750147,0.5109891029867185,0.4939773621627203,0.5376762110638046,0.5278350916358718,0.519143745824826,0.015205346839401933
7,2.2928027153015136,0.5471421555119299,0.006060600280761719,0.0004895011324456463,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 9}",0.5078594524944082,0.5385942334364664,0.4707090846047157,0.5330703883495145,0.5076594538366381,0.5115944832540842,0.024036082977233617,164,0.5136920764952209,0.5381841760458357,0.48981873271183535,0.5302839237644795,0.5032673479705557,0.5150492513975854,0.017575859727696225
8,2.5772963523864747,0.25936666085792687,0.006438732147216797,0.0006379269824876231,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.5550836331809783,0.5393497279419609,0.5043342579750347,0.5364597780859917,0.5169489791455809,0.5304764419534173,0.017818908040599442,52,0.5435372660463752,0.5254550768764802,0.5274780555120945,0.5417613277642221,0.5146991767198225,0.5305861805837989,0.01077961119571292
9,2.3196162223815917,0.20388688544542397,0.005747795104980469,0.0009300967232213517,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.4999288874841972,0.522322762189267,0.5152652565880722,0.5346740638002774,0.5335745679799077,0.5211240802391861,0.012844199602839324,94,0.5128588707425369,0.5272018852975134,0.531876020124707,0.5310230125353993,0.5277357210806051,0.5261391019561523,0.00688197725606678
10,2.6282528400421143,0.6442751134294353,0.006518507003784179,0.0015078455739130014,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.5399439609063503,0.5376233596500587,0.5195995145631067,0.532619625520111,0.516793023953218,0.5293382087424884,0.009424780010673373,56,0.5418109090563191,0.5305129101994926,0.5403136143606043,0.5400678533796041,0.510247275455922,0.5325905124903884,0.011866838791875315
