params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",2.620733999999999,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",2.6705479999999966,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",2.6028909999999996,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",1.83019800000001,100,9.252185722773959e-05,0.0,0.0,0.005050505050505051,0.0006504282614586187
"{""discount_factor"": 0.4}",1.864122000000009,100,0.0002758360098242962,0.0,0.0,0.014925373134328358,0.0019374956645675319
"{""discount_factor"": 0.5}",1.7755950000000098,100,0.0027601185505152126,0.0,0.0,0.02564102564102564,0.00576913339960251
"{""discount_factor"": 0.6}",1.8812130000000025,100,0.010234728703071847,0.008310344827586207,0.0,0.058823529411764705,0.011960367694082616
"{""discount_factor"": 0.7}",1.7817509999999999,100,0.010697671440186487,0.010813654430675708,0.0,0.04,0.010590274410034278
"{""discount_factor"": 0.8}",1.8171329999999983,100,0.011522014514458551,0.011779379157427938,0.0,0.041666666666666664,0.01056175913725776
"{""discount_factor"": 0.9}",1.9078879999999998,100,0.012030387365444553,0.011561079925153702,0.0,0.043478260869565216,0.00982048846733248
