steps,time,reward,delta,converged
1,0.002842999999984386,0.0,0,False
2,0.0005820000000085201,0.0,0,False
3,0.007876000000010208,0.0,0,False
4,0.005898000000001957,0.0,0,False
5,0.0018370000000231812,0.0,0,False
6,0.0020549999999275315,0.0,0,False
7,0.0037449999999807915,0.0,0,False
8,0.004594999999994798,0.0,0,False
9,0.005512999999950807,0.0,0,False
10,0.003224000000045635,0.0,0,False
11,0.0052550000000337604,0.0,0,False
12,0.0007050000000390355,0.0,0,False
13,0.0056650000000217915,0.0,0,False
14,0.0009810000000243235,0.0,0,False
15,0.0034310000000914442,0.0,0,False
16,0.0004360000000360742,0.0,0,False
17,0.007131999999955951,0.0,0,False
18,0.002491999999961081,0.0,0,False
19,0.0025160000000141736,0.0,0,False
20,0.0029539999999315114,0.0,0,False
21,0.0029879999999593565,0.0,0,False
22,0.0026739999999563224,0.0,0,False
23,0.0034490000000459986,0.0,0,False
24,0.004869000000098822,0.0,0,False
25,0.0009150000000772707,0.0,0,False
26,0.001113000000032116,0.0,0,False
27,0.006593999999950029,0.0,0,False
28,0.00822199999993245,0.0,0,False
29,0.005450999999993655,0.0,0,False
30,0.0025660000000016225,0.0,0,False
31,0.014257999999927051,0.0,0,False
32,0.0031820000000379878,0.0,0,False
33,0.010302000000024236,0.0,0,False
34,0.004138000000011743,0.0,0,False
35,0.003922000000102344,0.0,0,False
36,0.001598000000058164,0.0,0,False
37,0.0046740000000227155,0.0,0,False
38,0.002450999999950909,0.0,0,False
39,0.0029889999999568317,0.0,0,False
40,0.0022189999999682186,0.0,0,False
41,0.004820999999992637,0.0,0,False
42,0.0013779999999314896,0.0,0,False
43,0.0022020000000111395,0.0,0,False
44,0.0016210000000000946,0.0,0,False
45,0.009709000000043488,0.0,0,False
46,0.001824000000056003,0.0,0,False
47,0.007528000000093016,0.0,0,False
48,0.004916999999977634,0.0,0,False
49,0.013074000000074193,0.0,0,False
50,0.0017880000000332075,0.0,0,False
51,0.016651000000024396,0.0,0,False
52,0.002927999999997155,0.0,0,False
53,0.00615899999991143,0.0,0,False
54,0.00776199999995697,0.0,0,False
55,0.009925000000066575,0.0,0,False
56,0.002108000000021093,0.0,0,False
57,0.0015919999999596257,0.0,0,False
58,0.0028130000000601285,0.0,0,False
59,0.003830999999991036,0.0,0,False
60,0.0065230000000156,0.0,0,False
61,0.003572000000076514,0.0,0,False
62,0.00689599999998336,0.0,0,False
63,0.006993000000079519,0.0,0,False
64,0.00266399999998157,0.0,0,False
65,0.00825499999996282,0.0,0,False
66,0.003575999999952728,0.0,0,False
67,0.0013820000000350774,0.0,0,False
68,0.0046070000000781874,0.0,0,False
69,0.0011890000000676082,0.0,0,False
70,0.013961999999992258,0.0,0,False
71,0.0075259999999843785,0.0,0,False
72,0.00529299999993782,0.0,0,False
73,0.0026530000000093423,0.0,0,False
74,0.001652000000035514,0.0,0,False
75,0.007464000000027227,0.0,0,False
76,0.002775999999926171,0.0,0,False
77,0.001680999999962296,0.0,0,False
78,0.002123999999980697,0.0,0,False
79,0.012218999999959124,0.0,0,False
80,0.004468000000088068,0.0,0,False
81,0.002409000000056949,0.0,0,False
82,0.014403000000015709,0.0,0,False
83,0.005251999999927648,0.0,0,False
84,0.004771000000005188,0.0,0,False
85,0.0035280000000739165,0.0,0,False
86,0.0010359999999991487,0.0,0,False
87,0.0017699999999649663,0.0,0,False
88,0.000835999999935666,0.0,0,False
89,0.0016859999999496722,0.0,0,False
90,0.0041669999999385254,0.0,0,False
91,0.0032269999999243737,0.0,0,False
92,0.0015130000000453947,0.0,0,False
93,0.00867300000004434,0.0,0,False
94,0.017645000000015898,0.0,0,False
95,0.008131999999932304,0.0,0,False
96,0.014228000000002794,0.0,0,False
97,0.002550999999925807,0.0,0,False
98,0.008822000000009211,0.0,0,False
99,0.007925999999997657,0.0,0,False
100,0.0039460000000417494,0.0,0,False
101,0.01688200000000961,0.0,0,False
102,0.0011190000000169675,0.0,0,False
103,0.0018499999999903594,0.0,0,False
104,0.0017050000000153887,0.0,0,False
105,0.008486000000061722,0.0,0,False
106,0.0035090000000082,0.0,0,False
107,0.010850000000004911,0.0,0,False
108,0.0031979999999975917,0.0,0,False
109,0.00440800000001218,0.0,0,False
110,0.0015869999999722495,0.0,0,False
111,0.004443999999921289,0.0,0,False
112,0.001644000000055712,0.0,0,False
113,0.006440999999995256,0.0,0,False
114,0.002805999999964115,0.0,0,False
115,0.010884000000032756,0.0,0,False
116,0.008321999999907348,0.0,0,False
117,0.002368000000046777,0.0,0,False
118,0.009392000000048029,0.0,0,False
119,0.01266499999996995,0.0,0,False
120,0.004344999999943866,0.0,0,False
121,0.002851999999961663,0.0,0,False
122,0.0019879999999830034,0.0,0,False
123,0.012541999999939435,0.0,0,False
124,0.004179000000021915,0.0,0,False
125,0.017166999999972177,0.0,0,False
126,0.0019999999999527063,0.0,0,False
127,0.00638200000003053,0.0,0,False
128,0.008283000000005813,0.0,0,False
129,0.0021179999999958454,0.0,0,False
130,0.008944000000042251,0.0,0,False
131,0.0034150000000181535,0.0,0,False
132,0.0029969999999366337,0.0,0,False
133,0.0029329999999845313,0.0,0,False
134,0.0021479999999201027,0.0,0,False
135,0.013879999999971915,0.0,0,False
136,0.00292699999999968,0.0,0,False
137,0.0009800000000268483,0.0,0,False
138,0.007326000000034583,0.0,0,False
139,0.006161000000020067,0.0,0,False
140,0.0042600000000447835,0.0,0,False
141,0.004796000000055756,0.0,0,False
142,0.010540999999989253,0.0,0,False
143,0.014736999999968248,0.0,0,False
144,0.0018910000000005311,0.0,0,False
145,0.007182999999940876,0.0,0,False
146,0.012472999999999956,0.0,0,False
147,0.006290999999919222,0.0,0,False
148,0.00523899999996047,0.0,0,False
149,0.005607000000054541,0.0,0,False
150,0.0032139999999571955,0.0,0,False
151,0.006197000000042863,0.0,0,False
152,0.01026400000000649,0.0,0,False
153,0.007431999999994332,0.0,0,False
154,0.012514000000010128,0.0,0,False
155,0.002820000000042455,0.0,0,False
156,0.007829000000015185,0.0,0,False
157,0.0012519999999085485,0.0,0,False
158,0.006706000000008316,0.0,0,False
159,0.0037370000000009895,0.0,0,False
160,0.01086499999996704,0.0,0,False
161,0.014799000000039086,0.0,0,False
162,0.010840000000030159,0.0,0,False
163,0.0060869999999795255,0.0,0,False
164,0.012691000000017993,0.0,0,False
165,0.0022069999999985157,0.0,0,False
166,0.0065480000000661676,0.0,0,False
167,0.0017889999999169959,0.0,0,False
168,0.0013910000000123546,0.0,0,False
169,0.002543000000059692,0.0,0,False
170,0.0038649999999051943,0.0,0,False
171,0.00044200000002092565,0.0,0,False
172,0.003834999999980937,0.0,0,False
173,0.005831000000057429,0.0,0,False
174,0.00897999999995136,0.0,0,False
175,0.004623000000037791,0.0,0,False
176,0.0023860000000013315,0.0,0,False
177,0.008317999999917447,0.0,0,False
178,0.005819999999971515,0.0,0,False
179,0.03179000000000087,0.0,0,False
180,0.010529999999903339,0.0,0,False
181,0.001196000000049935,0.0,0,False
182,0.001527000000010048,0.0,0,False
183,0.004125000000044565,0.0,0,False
184,0.02195700000004308,0.0,0,False
185,0.0014669999999341599,0.0,0,False
186,0.0063549999999850115,0.0,0,False
187,0.005236999999965519,0.0,0,False
188,0.006475000000023101,0.0,0,False
189,0.014246999999954824,0.0,0,False
190,0.005340999999930318,0.0,0,False
191,0.01530400000001464,0.0,0,False
192,0.002923000000009779,0.0,0,False
193,0.012301999999976942,0.0,0,False
194,0.006573000000003049,0.0,0,False
195,0.012637999999924432,0.0,0,False
196,0.017553000000020802,0.0,0,False
197,0.01707299999998213,0.0,0,False
198,0.010116000000039094,0.0,0,False
199,0.008728000000019165,0.0,0,False
200,0.016475000000014006,0.0,0,True
