steps,time,reward,delta,converged
1,0.017687000000023545,0.0,0,False
2,0.007629000000008546,0.0,0,False
3,0.0061979999999834945,0.0,0,False
4,0.0035030000000233485,0.0,0,False
5,0.013562999999976455,0.0,0,False
6,0.0011969999999905667,0.0,0,False
7,0.012072999999986678,0.0,0,False
8,0.0045820000000276195,0.0,0,False
9,0.0032850000000053114,0.0,0,False
10,0.001560000000040418,0.0,0,False
11,0.013733999999999469,0.0,0,False
12,0.013806999999985692,0.0,0,False
13,0.011445999999978085,0.0,0,False
14,0.018966999999975087,0.0,0,False
15,0.0056920000000104665,0.0,0,False
16,0.0008970000000090295,0.0,0,False
17,0.01579599999996617,0.0,0,False
18,0.026973999999995613,0.0,0,False
19,0.019026999999994132,0.0,0,False
20,0.041426000000001295,0.0,0,False
21,0.0009489999999914289,0.0,0,False
22,0.01736399999998639,0.0,0,False
23,0.0067630000000349355,0.0,0,False
24,0.000987000000009175,0.0,0,False
25,0.04004600000001801,0.0,0,False
26,0.023291999999969448,0.0,0,False
27,0.012041000000010627,0.0,0,False
28,0.008442999999999756,0.0,0,False
29,0.007591999999988275,0.0,0,False
30,0.01996800000000576,0.0,0,False
31,0.007755000000031487,0.0,0,False
32,0.005919000000005781,0.0,0,False
33,0.0065140000000383225,0.0,0,False
34,0.014894000000026608,0.0,0,False
35,0.004714999999976044,0.0,0,False
36,0.025696999999979653,0.0,0,False
37,0.009994000000006054,0.0,0,False
38,0.019275000000050113,0.0,0,False
39,0.02679399999999532,0.0,0,False
40,0.008839999999963766,0.0,0,False
41,0.03312599999998156,0.0,0,False
42,0.003045000000042819,0.0,0,False
43,0.010421999999948639,0.0,0,False
44,0.014182000000005246,0.0,0,False
45,0.01738599999998769,0.0,0,False
46,0.030774000000008073,0.0,0,False
47,0.005324999999970714,0.0,0,False
48,0.03729099999998198,0.0,0,False
49,0.0017369999999914398,0.0,0,False
50,0.010260999999957221,0.0,0,False
51,0.014861999999993714,0.0,0,False
52,0.013399999999990087,0.0,0,False
53,0.004597999999987223,0.0,0,False
54,0.03151300000001811,0.0,0,False
55,0.0036489999999957945,0.0,0,False
56,0.012619000000029246,0.0,0,False
57,0.00286599999998316,0.0,0,False
58,0.014374000000032083,0.0,0,False
59,0.03688899999997375,0.0,0,False
60,0.011944999999968786,0.0,0,False
61,0.014449000000013257,0.0,0,False
62,0.03896700000001374,0.0,0,False
63,0.015388999999970565,0.0,0,False
64,0.02965000000000373,0.0,0,False
65,0.014311000000020613,0.0,0,False
66,0.0372820000000047,0.0,0,False
67,0.00857899999999745,0.0,0,False
68,0.006770999999957894,0.0,0,False
69,0.037665000000004056,0.0,0,False
70,0.008375999999998385,0.0,0,False
71,0.021901000000013937,0.0,0,False
72,0.023525000000006457,0.0,0,False
73,0.03621900000001688,0.0,0,False
74,0.0357970000000023,0.0,0,False
75,0.009003000000006978,0.0,0,False
76,0.001561999999978525,0.0,0,False
77,0.005643000000020493,0.0,0,False
78,0.02704900000003363,0.0,0,False
79,0.013249000000030264,0.0,0,False
80,0.007756000000028962,0.0,0,False
81,0.03578099999998585,0.0,0,False
82,0.03732300000001487,0.0,0,False
83,0.02043799999995599,0.0,0,False
84,0.03572299999996176,0.0,0,False
85,0.01225699999997687,0.0,0,False
86,0.03347499999995307,0.0,0,False
87,0.016517000000021653,0.0,0,False
88,0.034520999999983815,0.0,0,False
89,0.013164999999958127,0.0,0,False
90,0.034960999999952946,0.0,0,False
91,0.034609999999986485,0.0,0,False
92,0.01624000000003889,0.0,0,False
93,0.041921000000002095,0.0,0,False
94,0.003975999999966007,0.0,0,False
95,0.03588400000001002,0.0,0,False
96,0.015151000000003023,0.0,0,False
97,0.03517299999998613,0.0,0,False
98,0.036322999999981676,0.0,0,False
99,0.03821499999997968,0.0,0,False
100,0.013079000000004726,0.0,0,False
101,0.039017999999998665,0.0,0,False
102,0.03596800000002531,0.0,0,False
103,0.02469899999999825,0.0,0,False
104,0.010214000000019041,0.0,0,False
105,0.014827000000025237,0.0,0,False
106,0.027786999999989348,0.0,0,False
107,0.03510799999997971,0.0,0,False
108,0.03677599999997483,0.0,0,False
109,0.013042000000041298,0.0,0,False
110,0.004201999999963846,0.0,0,False
111,0.032922999999982494,0.0,0,False
112,0.033944000000019514,0.0,0,False
113,0.037193999999999505,0.0,0,False
114,0.03566000000000713,0.0,0,False
115,0.007616999999981999,0.0,0,False
116,0.03799300000002859,0.0,0,False
117,0.03759300000001531,0.0,0,False
118,0.03631100000001197,0.0,0,False
119,0.035970000000020264,0.0,0,False
120,0.03475300000002335,0.0,0,False
121,0.03497200000003886,0.0,0,False
122,0.03506499999997459,0.0,0,False
123,0.0382460000000151,0.0,0,False
124,0.025539999999978136,0.0,0,False
125,0.03607399999998506,0.0,0,False
126,0.03500800000000481,0.0,0,False
127,0.035308999999983826,0.0,0,False
128,0.007504999999980555,0.0,0,False
129,0.03758800000002793,0.0,0,False
130,0.03713199999998551,0.0,0,False
131,0.0035210000000347463,0.0,0,False
132,0.042584000000033484,0.0,0,False
133,0.037588999999968564,0.0,0,False
134,0.037544000000025335,0.0,0,False
135,0.03590300000001889,0.0,0,False
136,0.0363479999999754,0.0,0,False
137,0.035011999999994714,0.0,0,False
138,0.0347810000000095,0.0,0,False
139,0.0347370000000069,0.0,0,False
140,0.03779300000002195,0.0,0,False
141,0.039655999999979485,0.0,0,False
142,0.03582800000003772,0.0,0,False
143,0.009107999999969252,0.0,0,False
144,0.034417000000019016,0.0,0,False
145,0.0342080000000351,0.0,0,False
146,0.03440499999999247,0.0,0,False
147,0.034378000000003794,0.0,0,False
148,0.03507799999999861,0.0,0,False
149,0.03478699999999435,0.0,0,False
150,0.03409700000003113,0.0,0,False
151,0.03388799999999037,0.0,0,False
152,0.03401500000001079,0.0,0,False
153,0.03469000000001188,0.0,0,False
154,0.03495500000002494,0.0,0,False
155,0.03488399999997682,0.0,0,False
156,0.03487299999994775,0.0,0,False
157,0.035043999999970765,0.0,0,False
158,0.034554000000014184,0.0,0,False
159,0.034987999999998465,0.0,0,False
160,0.03482200000001967,0.0,0,False
161,0.03522499999996853,0.0,0,False
162,0.035025000000018736,0.0,0,False
163,0.03539699999998902,0.0,0,False
164,0.03550299999994877,0.0,0,False
165,0.035088000000030206,0.0,0,False
166,0.03529900000000907,0.0,0,False
167,0.03494299999999839,0.0,0,False
168,0.034582000000000335,0.0,0,False
169,0.03438099999999622,0.0,0,False
170,0.03482000000002472,0.0,0,False
171,0.03464400000001433,0.0,0,False
172,0.03431299999999737,0.0,0,False
173,0.034559999999999036,0.0,0,False
174,0.03453600000000279,0.0,0,False
175,0.03459199999997509,0.0,0,False
176,0.03572500000001355,0.0,0,False
177,0.036750999999981104,0.0,0,False
178,0.03494600000004766,0.0,0,False
179,0.034415000000024065,0.0,0,False
180,0.03426600000000235,0.0,0,False
181,0.03416199999998071,0.0,0,False
182,0.03446800000000394,0.0,0,False
183,0.034502000000031785,0.0,0,False
184,0.034245999999996,0.0,0,False
185,0.034148000000016054,0.0,0,False
186,0.034500000000036835,0.0,0,False
187,0.03452399999997624,0.0,0,False
188,0.0342499999999859,0.0,0,False
189,0.03477199999997538,0.0,0,False
190,0.03450300000002926,0.0,0,False
191,0.034708000000023276,0.0,0,False
192,0.03544899999997142,0.0,0,False
193,0.034878999999989446,0.0,0,False
194,0.03498700000000099,0.0,0,False
195,0.03565099999997301,0.0,0,False
196,0.03680800000000772,0.0,0,False
197,0.0388189999999895,0.0,0,False
198,0.039220000000000255,0.0,0,False
199,0.03695399999998017,0.0,0,False
200,0.03599900000000389,0.0,0,True
