episode,length,time,reward,delta
208,73.0,0.005838999999923544,0.0,-0.00026488281163604524
209,11.0,0.0009210000000621221,0.0,0.0001343290619183684
210,63.0,0.00469199999997727,0.0,0.00017154886247526045
211,22.0,0.0017080000000078144,0.0,0.0001543939762277344
212,75.0,0.005844000000024607,0.0,-0.0002130357583850416
213,57.0,0.004125000000158252,0.0,-0.0002924893953082181
214,36.0,0.0035340000001724547,0.0,-0.00020148320932122157
215,16.0,0.0012639999999919382,0.0,0.0002308479564333017
216,25.0,0.0018669999999474385,0.0,0.00014501717034625156
217,24.0,0.001755999999886626,0.0,0.0002232102462375816
218,82.0,0.006057999999939057,0.0,-0.00016250329487286228
219,24.0,0.0018760000000384025,0.0,0.0001305154533116264
220,16.0,0.0013609999998607236,0.0,0.00020088922161382342
221,31.0,0.003304000000071028,0.0,0.0001808002994524411
222,9.0,0.0007340000001931912,0.0,0.00011746390798046376
223,41.0,0.0034450000000560976,0.0,3.574558949907502e-05
224,56.0,0.006161000000020067,0.0,2.940162497124202e-05
225,50.0,0.0039460000000417494,0.0,-0.00015729443505003423
226,8.0,0.000722999999879903,0.0,0.0001270550236593935
227,7.0,0.0007890000001680164,0.0,5.0985417098630564e-05
228,30.0,0.003357999999934691,0.0,0.00018282129665221877
229,10.0,0.0008960000000115542,0.0,0.00026156935585830096
230,24.0,0.0018189999998412532,0.0,0.00023541242027247083
231,14.0,0.0012890000000425061,0.0,0.00026576858336594105
232,13.0,0.0017569999999977881,0.0,0.00011434952129345418
233,12.0,0.001213000000007014,0.0,0.00017956158391599345
234,31.0,0.002247000000124899,0.0,0.0001616054255243941
235,16.0,0.0013509999998859712,0.0,0.0002699472219172042
236,36.0,0.003435000000081345,0.0,0.0002731841787562249
237,9.0,0.000726999999869804,0.0,0.0002458657608806024
238,23.0,0.0018629999999575375,0.0,-0.0002718107629007843
239,23.0,0.0020939999999427528,0.0,-0.0005433377252546886
240,22.0,0.002439000000094893,0.0,0.00010291456916410876
241,15.0,0.0012369999999464198,0.0,0.0002878789839818639
242,9.0,0.0007760000000871514,0.0,9.262311224769791e-05
243,24.0,0.0018680000000586006,0.0,8.33608010229281e-05
244,6.0,0.000666000000137501,0.0,0.0002770568616418796
245,14.0,0.0012199999998756539,0.0,0.00026073661711184694
246,5.0,0.0004380000000310247,0.0,0.000274206201316798
247,28.0,0.002246000000013737,0.0,0.00023406567444015256
248,35.0,0.0025779999998576386,0.0,-0.0001995760191890519
249,12.0,0.001347000000123444,0.0,0.0002467855811851182
250,47.0,0.0034580000001369626,0.0,6.027772884745929e-05
251,101.0,0.008123999999952503,0.0,-0.0002154028410793376
252,38.0,0.002764999999953943,0.0,0.0002867084497462575
253,54.0,0.003952000000026601,0.0,5.352877343563667e-05
254,28.0,0.002584999999953652,0.0,2.0913570746768567e-05
255,25.0,0.001864999999952488,0.0,0.0002580376047716317
256,41.0,0.003729999999904976,0.0,0.000259346520779219
257,30.0,0.0022480000000086875,0.0,9.285172400577007e-05
258,4.0,0.0005859999998847343,0.0,0.00025139206646144845
259,10.0,0.0007850000001781154,0.0,7.701087897364097e-05
260,78.0,0.005832000000054904,0.0,-3.172761072253071e-05
261,33.0,0.0030390000001716544,0.0,0.0002334118687012971
262,22.0,0.0016470000000481377,0.0,0.00029086806466572206
263,36.0,0.002838999999994485,0.0,2.9048631109462078e-05
264,18.0,0.0014160000000629225,0.0,0.0002100706818311674
265,46.0,0.004421999999976833,0.0,-0.00039524748916092877
266,10.0,0.0007680000001073495,0.0,0.0002617812581991498
267,22.0,0.002058000000033644,0.0,2.580041684253673e-05
268,13.0,0.001007999999956155,0.0,0.00023560313237923485
269,22.0,0.002419000000145388,0.0,0.0002529649936780557
270,87.0,0.006336000000146669,0.0,0.00022267720209097463
271,81.0,0.005731000000196218,0.0,-0.00016412017057478522
272,6.0,0.0004969999999957508,0.0,0.0002276684943102501
273,18.0,0.0013619999999718857,0.0,0.0002049016448792251
274,25.0,0.002003000000058819,0.0,-0.00019386255697140378
275,6.0,0.0005539999999655265,0.0,0.00018441148039130258
276,29.0,0.002506000000039421,0.0,-7.072853888658351e-06
277,36.0,0.0027409999997871637,0.0,-2.8954215282313495e-05
278,6.0,0.0005439999999907741,0.0,0.00018131420637958345
279,15.0,0.0012800000001789158,0.0,0.00016597033235217232
280,83.0,0.007853000000068278,0.0,-7.42940945319911e-05
281,18.0,0.0013679999999567372,0.0,4.2821842232005345e-05
282,10.0,0.0009569999999712309,0.0,0.00025478453806720535
283,65.0,0.005907999999863023,0.0,0.0002546943467677176
284,9.0,0.0007160000000112632,0.0,0.00022922491209094583
285,16.0,0.0012080000001333246,0.0,0.0001493732991169551
286,11.0,0.0013269999999465654,0.0,0.00018469332825447041
287,10.0,0.00091999999995096,0.0,0.00020630242088185124
288,169.0,0.014370999999982814,0.0,0.00018502664626587504
289,83.0,0.006204999999908978,0.0,0.0001955308560593786
290,12.0,0.0012699999999767897,0.0,0.00010589066370690988
291,11.0,0.0010299999999006104,0.0,0.00017597777045344075
292,13.0,0.0010070000000723667,0.0,0.00025737467987105403
293,6.0,0.0005459999999857246,0.0,0.00023163721188394862
294,63.0,0.004850000000033106,0.0,0.00021022006130918476
295,12.0,0.0010879999999815482,0.0,0.00022295428415257994
296,19.0,0.0014189999999416614,0.0,7.03669898432012e-05
297,21.0,0.0017869999999220454,0.0,-2.605879375408213e-05
298,32.0,0.0025170000001253356,0.0,-0.00024462968661070585
299,70.0,0.005351999999902546,0.0,3.417432560237995e-05
300,11.0,0.0008189999998649,0.0,0.00024289256135119627
301,24.0,0.0018979999999828578,0.0,9.53015973362189e-05
302,80.0,0.006689000000051237,0.0,3.0756893042141974e-05
303,52.0,0.003815000000031432,0.0,-0.00019173218254653742
304,66.0,0.005585999999993874,0.0,0.00028522125314563363
305,43.0,0.0030980000001363805,0.0,0.00011376820954601534
306,32.0,0.002487999999857493,0.0,0.0002175066081324804
307,14.0,0.0013159999998606509,0.0,7.874075652182085e-05
308,12.0,0.0009760000000369473,0.0,0.0002651530546933661
309,12.0,0.0009130000000823202,0.0,0.0002508852128203901
310,6.0,0.0005020000000968139,0.0,0.0002920235259505179
311,53.0,0.003997000000026674,0.0,-0.00021473674311325158
312,44.0,0.003581000000167478,0.0,-0.00022259555397132684
313,44.0,0.003198999999995067,0.0,-0.00016298104406013128
314,49.0,0.003777000000127373,0.0,-0.00011731465251136767
315,39.0,0.003132999999934327,0.0,-0.0004343901221652289
316,89.0,0.006622000000106709,0.0,-1.730444113634777e-05
317,119.0,0.009386000000176864,0.0,4.6407024410666025e-05
318,11.0,0.0008419999999205174,0.0,0.0002723739447843012
319,10.0,0.0008430000000316795,0.0,0.0002451365503058711
320,12.0,0.0009340000001429871,0.0,-0.0001628575596203012
321,12.0,0.0009119999999711581,0.0,0.000220622895275284
322,6.0,0.0005090000001928274,0.0,0.00027320680205751547
323,7.0,0.0005750000000261934,0.0,0.00024588612185176393
324,7.0,0.0005790000000160944,0.0,0.00022129750966658754
325,10.0,0.0010760000000118453,0.0,0.00029211590569605333
326,15.0,0.0011709999998856802,0.0,0.0001991677586999288
327,12.0,0.0009740000000419968,0.0,0.00013526963196545854
328,19.0,0.0014130000001841836,0.0,0.00019758959718300077
329,14.0,0.0010489999999663269,0.0,0.00019856060574775558
330,5.0,0.0005470000000968867,0.0,0.00017870454517298002
331,31.0,0.005447999999887543,0.0,0.0002291487899962205
332,6.0,0.0005949999999756983,0.0,0.00017783063746470068
333,20.0,0.0018179999999574648,0.0,0.00020623391099659845
334,17.0,0.001655999999911728,0.0,-4.1296842149050764e-05
335,17.0,0.0022900000001300214,0.0,-0.00012142163253712394
336,23.0,0.001807000000098924,0.0,0.00014502167675370278
337,26.0,0.002010999999811247,0.0,8.769785689507429e-05
338,50.0,0.005529999999907886,0.0,0.0001600475737182306
339,11.0,0.0008940000000166037,0.0,0.00014404281634640753
340,38.0,0.002793999999994412,0.0,-0.0004790272716014462
341,74.0,0.005507999999963431,0.0,5.510839618311819e-05
342,35.0,0.0028720000000248547,0.0,-0.0003959851318818959
343,4.0,0.00036399999999048305,0.0,0.000262904315126448
344,16.0,0.0012370000001737935,0.0,0.0002366138836138032
345,8.0,0.0009880000000066502,0.0,0.0002129524952524229
346,11.0,0.0010350000000016735,0.0,0.0002284158202666411
347,19.0,0.001452000000199405,0.0,-9.154159890460608e-05
348,40.0,0.0029250000000047294,0.0,-1.5573997022712987e-05
349,5.0,0.0005549999998493149,0.0,0.0001916572457271806
350,16.0,0.0017119999999977153,0.0,0.0002095066549548983
351,24.0,0.0018880000000081054,0.0,0.0001231204587001942
352,16.0,0.0011910000000625587,0.0,0.00017249152115446253
353,13.0,0.0010180000001582812,0.0,0.0001529177588481445
354,25.0,0.0027789999999185966,0.0,0.0002472855522218571
355,28.0,0.002253999999993539,0.0,5.807405023289987e-05
356,6.0,0.0005110000001877779,0.0,0.00020680378867172635
357,6.0,0.0005109999999604042,0.0,0.00018612340980455372
358,32.0,0.0036239999999452266,0.0,0.00016105686847759106
359,14.0,0.0011839999999665451,0.0,0.0002308988005980314
360,9.0,0.000730999999859705,0.0,0.00016751106882409835
361,8.0,0.000651999999945474,0.0,0.0002468057151113447
362,19.0,0.00201599999991231,0.0,0.00012925079761585707
363,27.0,0.0023530000000846485,0.0,5.226664520960989e-05
364,22.0,0.0017139999999926658,0.0,0.00024867663844655255
365,9.0,0.0007130000001325243,0.0,0.00016645804354954269
366,9.0,0.0007160000000112632,0.0,0.00020780892053822824
367,6.0,0.0007279999999809661,0.0,0.0002492705051328448
368,10.0,0.0009439999998903659,0.0,0.00020405529194392004
369,26.0,0.0020400000000790897,0.0,0.00024945553251476605
370,12.0,0.0009380000001328881,0.0,0.00014464752327432372
371,14.0,0.0010520000000724394,0.0,0.0002502525715674226
372,41.0,0.003980999999839696,0.0,0.00022255699699967138
373,23.0,0.0017920000000231084,0.0,0.00016886548108478142
374,12.0,0.0009170000000722212,0.0,0.00022522731441068034
375,33.0,0.0024909999999636057,0.0,9.948153460204558e-05
376,20.0,0.0018199999999524152,0.0,0.0002189010372324276
377,66.0,0.004917000000205007,0.0,8.697046668358429e-05
378,4.0,0.00041800000008151983,0.0,0.0002279983147834589
379,18.0,0.0017889999999169959,0.0,0.00023553007765181279
380,36.0,0.002895000000080472,0.0,0.0002119770698866315
381,48.0,0.0034049999999297142,0.0,0.0002589302222004198
382,33.0,0.0026189999998678104,0.0,0.00023387117903472568
383,70.0,0.005366000000094573,0.0,9.682089733241365e-05
384,13.0,0.0009850000001279113,0.0,0.00022907027987543376
385,13.0,0.0010059999999612046,0.0,1.0548902432180017e-05
386,14.0,0.0014419999999972788,0.0,0.00020582609217051869
387,13.0,0.0011570000001484004,0.0,-0.0002628586606828953
388,25.0,0.0018939999999929569,0.0,0.00010167918392582452
389,23.0,0.0016669999999976426,0.0,0.00027305067040344635
390,58.0,0.005270999999993364,0.0,0.00029442766631212976
391,16.0,0.001312999999981912,0.0,0.0002944916530492837
392,111.0,0.007813999999825683,0.0,6.0961640754517236e-05
393,27.0,0.0021059999999124557,0.0,0.00021932305614210946
394,9.0,0.000753000000031534,0.0,0.0002650424877443553
395,64.0,0.004506999999875916,0.0,-0.00010927946928341155
396,6.0,0.0004930000000058499,0.0,0.00022978018948602077
397,11.0,0.0008629999999811844,0.0,0.0002501662920299618
398,17.0,0.0013590000000931468,0.0,0.00022198484948246256
399,6.0,0.0004880000001321605,0.0,0.0001997863645342163
400,8.0,0.0006240000000161672,0.0,-9.835152235507038e-05
401,24.0,0.0018299999999271677,0.0,0.00017619948045613482
402,9.0,0.0009099999999762076,0.0,0.00019584389363813245
403,30.0,0.0022509999998874264,0.0,0.0002611975714812625
404,13.0,0.0009789999999156862,0.0,0.00025804595995359734
405,43.0,0.0030980000001363805,0.0,-8.044761474742705e-05
406,13.0,0.0009609999999611318,0.0,0.0002322413639582376
407,22.0,0.0018970000000990694,0.0,0.000210342564211365
408,17.0,0.0014059999998607964,0.0,0.00022366020070307307
409,4.0,0.00041599999985919567,0.0,0.00018930830779022848
410,9.0,0.0008709999999609863,0.0,0.00018874005061452872
411,8.0,0.0007880000000568543,0.0,0.00020129418063276577
412,34.0,0.00282599999991362,0.0,0.0002036030395905512
413,10.0,0.0009509999999863794,0.0,0.0001811647625694892
414,9.0,0.0008559999998851708,0.0,0.00016304828631254027
415,8.0,0.0007680000001073495,0.0,0.00019911612831489877
416,23.0,0.0020050000000537693,0.0,0.0001853519397891265
417,21.0,0.001874000000043452,0.0,9.151126553324208e-05
418,24.0,0.00210800000013478,0.0,0.00015857953241052135
419,22.0,0.0022100000001046283,0.0,0.00020139546778615328
420,16.0,0.0013699999999516876,0.0,0.00015352735026184775
421,40.0,0.0029369999999744323,0.0,0.0002855411100831115
422,34.0,0.002555000000029395,0.0,0.00019739075052789852
423,16.0,0.0015499999999519787,0.0,-2.7337866270286026e-05
424,17.0,0.0014109999999618594,0.0,0.0002416230759405576
425,60.0,0.004234999999880529,0.0,0.00014728277313285818
426,28.0,0.002040999999962878,0.0,0.00017765167547510865
427,67.0,0.004828999999972439,0.0,0.0002495970048439422
428,15.0,0.0011280000001079316,0.0,-2.460407964325744e-05
429,22.0,0.0016129999999066058,0.0,-5.177629994448333e-05
430,13.0,0.0009799999997994746,0.0,0.00021746076834650184
431,7.0,0.0005689999998139683,0.0,0.00021170704012416912
432,16.0,0.0012790000000677537,0.0,0.00024904006812307496
433,7.0,0.0005570000000716391,0.0,0.0001905363361117522
434,13.0,0.0010090000000673172,0.0,0.0001503178695949206
435,6.0,0.0004919999998946878,0.0,0.00023608660453159318
436,9.0,0.0006940000000668078,0.0,0.00021247794407843384
437,10.0,0.0007869999999456923,0.0,-2.214367167893168e-05
438,56.0,0.004000000000132786,0.0,-0.00011132301863353198
439,8.0,0.0006390000000919827,0.0,0.00019123014967059045
440,22.0,0.001573000000007596,0.0,0.00013528608263542856
441,14.0,0.0010419999998703133,0.0,0.0001721071347035314
442,13.0,0.0013529999998809217,0.0,-2.3776833387253614e-06
443,21.0,0.0015319999999974243,0.0,0.0002210529946344472
444,28.0,0.002025000000003274,0.0,0.00020713660479300514
445,9.0,0.0006979999998293351,0.0,0.00021432161342280288
446,12.0,0.0010050000000774162,0.0,0.00013641470875216504
447,6.0,0.000569000000041342,0.0,0.00022254030763429255
448,12.0,0.001019999999925858,0.0,0.00021932840706378285
449,11.0,0.0008889999999155407,0.0,9.486859565111308e-05
450,10.0,0.0008519999998952699,0.0,0.00021307955290707272
451,11.0,0.0009680000000571454,0.0,0.00020849116667265871
452,20.0,0.0015450000000782893,0.0,0.00024117311150937337
453,23.0,0.0017510000000129367,0.0,-2.1399150048528252e-06
454,24.0,0.0019180000001597364,0.0,0.00010655693643573684
455,8.0,0.0006609999998090643,0.0,0.00018764205000539286
456,8.0,0.0007669999999961874,0.0,0.0001759608571581402
457,44.0,0.003805999999940468,0.0,0.00010776405610080791
458,13.0,0.0010260000001380831,0.0,0.00020466341085214484
459,15.0,0.0012739999999666907,0.0,0.0001769062332856604
460,8.0,0.0006659999999101274,0.0,0.00018419706976693036
461,40.0,0.002976999999873442,0.0,9.590124279216318e-05
