episode,length,time,reward,delta
0,10.0,0.000927999999930762,0.0,-0.00038356413391963285
1,19.0,0.0016210000000000946,0.0,0.00011251590001334856
2,12.0,0.001029000000016822,0.0,-0.00043687015962979404
3,9.0,0.0007349999999632928,0.0,-0.00031631316928277094
4,14.0,0.001079000000004271,0.0,1.1251590001334834e-05
5,30.0,0.0025200000000040745,0.0,5.306600039491375e-05
6,15.0,0.001238000000057582,0.0,-0.0004926672409894324
7,20.0,0.0015690000000176951,0.0,7.267523272057314e-05
8,24.0,0.0018039999999928114,0.0,-0.0004686884492405516
9,12.0,0.0009510000001000662,0.0,-0.0005036613542124542
10,28.0,0.002158000000008542,0.0,-0.0003907501861957047
11,22.0,0.0016810000000759828,0.0,-7.358150075947677e-05
12,24.0,0.0018699999999398642,0.0,-2.586620294281819e-07
13,47.0,0.003348999999957414,0.0,-2.586620294277482e-08
14,16.0,0.0011899999999513966,0.0,0.00022681402729236595
15,18.0,0.0014400000000023283,0.0,1.79799841659228e-05
16,12.0,0.0009149999999635838,0.0,-7.358150075947661e-06
17,17.0,0.001291999999921245,0.0,0.00021757879329108298
18,19.0,0.0014400000000023283,0.0,-4.926672409894331e-05
19,28.0,0.0020139999999173597,0.0,0.00029244360172801955
20,35.0,0.0029829999999719803,0.0,2.1757879329108295e-05
21,23.0,0.002050000000053842,0.0,1.6900273941409247e-05
22,23.0,0.0017840000000433065,0.0,-0.00013909035935898498
23,23.0,0.001780999999937194,0.0,-0.00015987385804324967
24,11.0,0.0008429999999179927,0.0,0.0002396250778839189
25,37.0,0.002638999999931002,0.0,2.924436017280195e-05
26,41.0,0.0029380000000855944,0.0,2.924436017280184e-06
27,23.0,0.0017179999999825668,0.0,5.032347519816685e-05
28,8.0,0.0006100000000515138,0.0,0.0002719716024923041
29,23.0,0.0016049999999268039,0.0,-3.163131692827709e-05
30,46.0,0.0035309999999526553,0.0,0.00014647336250932675
31,8.0,0.0006359999999858701,0.0,2.7197160249230407e-05
32,11.0,0.0008310000000619766,0.0,0.0003120599292420895
33,11.0,0.000877999999943313,0.0,7.404304421506638e-06
34,11.0,0.0008310000000619766,0.0,-0.00036838847394529825
35,12.0,0.0009420000000091022,0.0,-0.00014701118769373805
36,63.0,0.004431999999951586,0.0,5.032347519816664e-06
37,9.0,0.0007550000000264845,0.0,-9.827005672183656e-06
38,20.0,0.0014449999999897045,0.0,-1.3909035935898454e-05
39,15.0,0.0010899999999764987,0.0,9.584735547115981e-06
40,32.0,0.0023540000000821237,0.0,3.467842278564656e-06
41,16.0,0.001167000000009466,0.0,2.883489901097839e-05
42,9.0,0.0006889999999657448,0.0,-1.3909035935898563e-06
43,61.0,0.004234999999994216,0.0,-0.00041449323346689246
44,23.0,0.0016219999999975698,0.0,0.00017571927587587625
45,16.0,0.0011570000000347136,0.0,3.467842278564548e-07
46,40.0,0.002828000000022257,0.0,0.00034448247226382403
47,12.0,0.0010259999999107094,0.0,0.00036419795274626857
48,71.0,0.004904999999894244,0.0,0.00010375149113649336
49,57.0,0.004037999999923159,0.0,-8.954935827108182e-05
50,17.0,0.0012350000000651562,0.0,0.0002848817497095169
