step,reward,mean,median,std,max,min
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0
33,0.014705882352941176,0.00043252595155709344,0.0,0.002484672424973196,0.014705882352941176,0.0
34,0.0,0.00042016806722689073,0.0,0.002449979787750126,0.014705882352941176,0.0
35,0.0,0.0004084967320261438,0.0,0.002416699257802131,0.014705882352941176,0.0
36,0.0,0.00039745627980922096,0.0,0.0023847376788553257,0.014705882352941176,0.0
37,0.0,0.00038699690402476777,0.0,0.0023540102671432738,0.014705882352941176,0.0
38,0.0,0.0003770739064856712,0.0,0.0023244396692944855,0.014705882352941176,0.0
39,0.01694915254237288,0.0007913758723828515,0.0,0.0034586331000396064,0.01694915254237288,0.0
40,0.0,0.0007720740218369282,0.0,0.0034183747299905563,0.01694915254237288,0.0
41,0.0,0.0007536913070312871,0.0,0.003379485108213695,0.01694915254237288,0.0
42,0.0,0.000736163602216606,0.0,0.003341888698570904,0.01694915254237288,0.0
43,0.0,0.0007194326112571377,0.0,0.0033055156497374346,0.01694915254237288,0.0
44,0.0,0.0007034452198958679,0.0,0.0032703012593148263,0.01694915254237288,0.0
45,0.0,0.0006881529325068273,0.0,0.0032361854980938513,0.01694915254237288,0.0
46,0.017543859649122806,0.0010467849903071673,0.0,0.0040207522708918956,0.017543859649122806,0.0
47,0.0,0.001024976969675768,0.0,0.0039814570857438,0.017543859649122806,0.0
48,0.0,0.0010040590723354463,0.0,0.003943284559274119,0.017543859649122806,0.0
49,0.0,0.0009839778908887374,0.0,0.003906182623952441,0.017543859649122806,0.0
50,0.0,0.000964684206753664,0.0,0.0038701025028593135,0.017543859649122806,0.0
51,0.0,0.0009461325873930166,0.0,0.00383499844970154,0.017543859649122806,0.0
52,0.0,0.0009282810291403182,0.0,0.003800827513202026,0.017543859649122806,0.0
53,0.0,0.0009110906397117938,0.0,0.003767549323247849,0.017543859649122806,0.0
54,0.0,0.0008945253553533975,0.0,0.0037351258964930956,0.017543859649122806,0.0
55,0.0,0.0008785516882935154,0.0,0.003703521459385218,0.017543859649122806,0.0
56,0.0,0.0008631385007795941,0.0,0.0036727022868206206,0.017543859649122806,0.0
57,0.0,0.0008482568024902907,0.0,0.0036426365548420966,0.017543859649122806,0.0
58,0.0,0.0008338795685497774,0.0,0.0036132942059713237,0.017543859649122806,0.0
59,0.0,0.0008199815757406144,0.0,0.0035846468259277823,0.017543859649122806,0.0
60,0.0,0.0008065392548268338,0.0,0.0035566675306240476,0.017543859649122806,0.0
61,0.0,0.0007935305571683365,0.0,0.0035293308624490182,0.017543859649122806,0.0
62,0.0,0.0007809348340386804,0.0,0.003502612694957651,0.017543859649122806,0.0
63,0.0,0.000768732727256826,0.0,0.0034764901451799354,0.017543859649122806,0.0
64,0.0,0.0007569060699144132,0.0,0.0034509414928449436,0.017543859649122806,0.0
65,0.0,0.0007454377961278312,0.0,0.003425946105889142,0.017543859649122806,0.0
66,0.0,0.000734311858872192,0.0,0.0034014843716831345,0.017543859649122806,0.0
67,0.0,0.000723513155065248,0.0,0.0033775376334684907,0.017543859649122806,0.0
68,0.0,0.0007130274571657516,0.0,0.0033540881315473857,0.017543859649122806,0.0
69,0.0,0.0007028413506348124,0.0,0.003331118948813145,0.017543859649122806,0.0
70,0.0,0.0006929421766822093,0.0,0.003308613960250141,0.017543859649122806,0.0
