steps,time,reward,delta,converged
1,0.010418999999956213,0.0,0,False
2,0.0020269999999982247,0.0,0,False
3,0.004419999999981883,0.0,0,False
4,0.005743000000052234,0.0,0,False
5,0.012331000000017411,0.0,0,False
6,0.013959999999997308,0.0,0,False
7,0.005337000000054104,0.0,0,False
8,0.012657999999987624,0.0,0,False
9,0.013728000000014617,0.0,0,False
10,0.005352000000016233,0.0,0,False
11,0.0018270000000484288,0.0,0,False
12,0.025369999999952597,0.0,0,False
13,0.011350999999990563,0.0,0,False
14,0.004248000000075081,0.0,0,False
15,0.0024789999999939027,0.0,0,False
16,0.0027119999999740685,0.0,0,False
17,0.010083000000008724,0.0,0,False
18,0.005418999999960761,0.0,0,False
19,0.001780999999937194,0.0,0,False
20,0.004932000000053449,0.0,0,False
21,0.03089599999998427,0.0,0,False
22,0.012155000000007021,0.0,0,False
23,0.004569000000060441,0.0,0,False
24,0.005884000000037304,0.0,0,False
25,0.007120999999983724,0.0,0,False
26,0.01574799999991683,0.0,0,False
27,0.015833000000043285,0.0,0,False
28,0.013316999999915424,0.0,0,False
29,0.007716999999956897,0.0,0,False
30,0.013019999999983156,0.0,0,False
31,0.01592900000002828,0.0,0,False
32,0.004112000000077387,0.0,0,False
33,0.002443000000084794,0.0,0,False
34,0.011211000000002969,0.0,0,False
35,0.03739699999994173,0.0,0,False
36,0.04520300000001498,0.0,0,False
37,0.0015879999999697247,0.0,0,False
38,0.013750999999956548,0.0,0,False
39,0.011053999999944608,0.0,0,False
40,0.002764999999953943,0.0,0,False
41,0.04036499999995158,0.0,0,False
42,0.03502600000001621,0.0,0,False
43,0.008480999999960659,0.0,0,False
44,0.011851999999976215,0.0,0,False
45,0.0036020000000007713,0.0,0,False
46,0.011801000000104978,0.0,0,False
47,0.009809000000018386,0.0,0,False
48,0.0032589999999572683,0.0,0,False
49,0.03573500000004515,0.0,0,False
50,0.03578000000004522,0.0,0,False
51,0.030219999999985703,0.0,0,False
52,0.037119000000075175,0.0,0,False
53,0.016823000000044885,0.0,0,False
54,0.011184999999954925,0.0,0,False
55,0.009562999999957356,0.0,0,False
56,0.0019519999999602078,0.0,0,False
57,0.037896000000046115,0.0,0,False
58,0.018641999999999825,0.0,0,False
59,0.015690999999947053,0.0,0,False
60,0.006417999999939639,0.0,0,False
61,0.01818700000001172,0.0,0,False
62,0.002869000000032429,0.0,0,False
63,0.0022860000000264336,0.0,0,False
64,0.02059699999995246,0.0,0,False
65,0.021309999999971296,0.0,0,False
66,0.05406700000003184,0.0,0,False
67,0.028703999999947882,0.0,0,False
68,0.05517199999997047,0.0,0,False
69,0.045628999999962616,0.0,0,False
70,0.011145999999939704,0.0,0,False
71,0.009302000000047883,0.0,0,False
72,0.014422999999965214,0.0,0,False
73,0.004732999999987442,0.0,0,False
74,0.017168999999967127,0.0,0,False
75,0.03089199999999437,0.0,0,False
76,0.007580999999959204,0.0,0,False
77,0.047525999999948,0.0,0,False
78,0.023174000000039996,0.0,0,False
79,0.052145999999993364,0.0,0,False
80,0.017307000000073458,0.0,0,False
81,0.007948999999939588,0.0,0,False
82,0.04872899999998026,0.0,0,False
83,0.04737199999999575,0.0,0,False
84,0.02308899999991354,0.0,0,False
85,0.03657099999998081,0.0,0,False
86,0.0692620000000943,0.0,0,False
87,0.06377199999997174,0.0,0,False
88,0.06501700000001165,0.0,0,False
89,0.05788800000004812,0.0,0,False
90,0.06048400000008769,0.0,0,False
91,0.0399169999999458,0.0,0,False
92,0.009071999999946456,0.0,0,False
93,0.030385000000023865,0.0,0,False
94,0.026495000000068103,0.0,0,False
95,0.015358999999989464,0.0,0,False
96,0.03543500000000677,0.0,0,False
97,0.03548999999998159,0.0,0,False
98,0.03513600000007955,0.0,0,False
99,0.0014139999999542852,0.0,0,False
100,0.029001999999991313,0.0,0,False
101,0.03610700000001543,0.0,0,False
102,0.005814999999984138,0.0,0,False
103,0.03662199999996574,0.0,0,False
104,0.0355930000000626,0.0,0,False
105,0.039665000000013606,0.0,0,False
106,0.035538999999971566,0.0,0,False
107,0.03306900000006863,0.0,0,False
108,0.036871000000019194,0.0,0,False
109,0.039294999999924585,0.0,0,False
110,0.03934299999991708,0.0,0,False
111,0.0367350000000215,0.0,0,False
112,0.004425999999966734,0.0,0,False
113,0.03614100000004328,0.0,0,False
114,0.036027000000103726,0.0,0,False
115,0.03566899999998441,0.0,0,False
116,0.03538900000000922,0.0,0,False
117,0.03945499999997537,0.0,0,False
118,0.03610600000001796,0.0,0,False
119,0.0357930000000124,0.0,0,False
120,0.035936000000106105,0.0,0,False
121,0.0357569999999896,0.0,0,False
