steps,time,reward,delta,converged
1,0.030909000000065134,0.0,0,False
2,0.012698999999884109,0.0,0,False
3,0.008815000000140572,0.0,0,False
4,0.03492199999982404,0.0,0,False
5,0.011508000000048924,0.0,0,False
6,0.029302000000370754,0.0,0,False
7,0.034505000000081054,0.0,0,False
8,0.01320499999974345,0.0,0,False
9,0.02457800000001953,0.0,0,False
10,0.01670200000035038,0.0,0,False
11,0.004505000000335713,0.0,0,False
12,0.013762999999926251,0.0,0,False
13,0.0060090000001764565,0.0,0,False
14,0.016384999999900174,0.0,0,False
15,0.009698000000298634,0.0,0,False
16,0.007524999999986903,0.0,0,False
17,0.005015000000184955,0.0,0,False
18,0.030886000000009517,0.0,0,False
19,0.011199000000033266,0.0,0,False
20,0.003989000000274245,0.0,0,False
21,0.0022910000002411834,0.0,0,False
22,0.015225000000100408,0.0,0,False
23,0.012861000000157219,0.0,0,False
24,0.012417999999797757,0.0,0,False
25,0.002441999999973632,0.0,0,False
26,0.00966100000005099,0.0,0,False
27,0.019240999999965425,0.0,0,False
28,0.012117000000216649,0.0,0,False
29,0.0321750000002794,0.0,0,False
30,0.016110999999909836,0.0,0,False
31,0.003942000000279222,0.0,0,False
32,0.01791400000001886,0.0,0,False
33,0.01791400000001886,0.0,0,False
34,0.027243999999882362,0.0,0,False
35,0.00550199999997858,0.0,0,False
36,0.03860499999973399,0.0,0,False
37,0.007663999999749649,0.0,0,False
38,0.0053699999998571,0.0,0,False
39,0.007529999999860593,0.0,0,False
40,0.00913700000000972,0.0,0,False
41,0.004539999999906286,0.0,0,False
42,0.005310000000008586,0.0,0,False
43,0.011207000000013068,0.0,0,False
44,0.01089300000012372,0.0,0,False
45,0.01570999999967171,0.0,0,False
46,0.00478400000019974,0.0,0,False
47,0.04009399999995367,0.0,0,False
48,0.02169000000003507,0.0,0,False
49,0.0020469999999477295,0.0,0,False
50,0.015729000000192173,0.0,0,False
51,0.004149999999754073,0.0,0,False
52,0.005410000000210857,0.0,0,False
53,0.016979999999875872,0.0,0,False
54,0.006057000000055268,0.0,0,False
55,0.010075000000142609,0.0,0,False
56,0.0356299999998555,0.0,0,False
57,0.009704000000056112,0.0,0,False
58,0.003936999999950785,0.0,0,False
59,0.018988000000263128,0.0,0,False
60,0.003467000000000553,0.0,0,False
61,0.003224999999929423,0.0,0,False
62,0.003830999999991036,0.0,0,False
63,0.010077999999793974,0.0,0,False
64,0.011501999999836698,0.0,0,False
65,0.019997999999759486,0.0,0,False
66,0.010727999999744497,0.0,0,False
67,0.011183000000073662,0.0,0,False
68,0.008442000000286498,0.0,0,False
69,0.009911000000101922,0.0,0,False
70,0.011379000000033557,0.0,0,False
71,0.007213999999748921,0.0,0,False
72,0.007372999999915919,0.0,0,False
73,0.0072930000001179,0.0,0,False
74,0.03052700000034747,0.0,0,False
75,0.011406999999962864,0.0,0,False
76,0.0031159999998635612,0.0,0,False
77,0.03265000000010332,0.0,0,False
78,0.004127999999582244,0.0,0,False
79,0.01561100000026272,0.0,0,False
80,0.007849999999962165,0.0,0,False
81,0.027285000000119908,0.0,0,False
82,0.03456999999980326,0.0,0,False
83,0.008812000000034459,0.0,0,False
84,0.005315999999766063,0.0,0,False
85,0.014045999999780179,0.0,0,False
86,0.0033969999999499123,0.0,0,False
87,0.003954999999677966,0.0,0,False
88,0.005595000000084838,0.0,0,False
89,0.009884999999940192,0.0,0,False
90,0.008563000000322063,0.0,0,False
91,0.03397599999971135,0.0,0,False
92,0.006339000000025408,0.0,0,False
93,0.003964999999880092,0.0,0,False
94,0.007618000000093161,0.0,0,False
95,0.010017000000061671,0.0,0,False
96,0.01629400000001624,0.0,0,False
97,0.027497999999923195,0.0,0,False
98,0.010367999999743915,0.0,0,False
99,0.017072000000098342,0.0,0,False
100,0.01699300000018411,0.0,0,False
101,0.03447700000015175,0.0,0,False
102,0.025596000000405184,0.0,0,False
103,0.00447600000006787,0.0,0,False
104,0.021776000000045315,0.0,0,False
