iterations,fitness,time,fevals
0,29.0,0.000276294,643
10,29.0,0.000564324999999,1191
20,33.0,0.000826238999999,1735
30,33.0,0.001072227,2281
40,35.0,0.001300873,2833
50,35.0,0.00151197,3384
60,36.0,0.001724806,3927
70,36.0,0.001928603,4466
80,35.0,0.002129312,5016
90,35.0,0.002337455,5567
100,35.0,0.002543622,6116
110,35.0,0.002741636,6671
120,35.0,0.002940447,7208
130,35.0,0.003140491,7760
140,36.0,0.003339595,8306
150,35.0,0.003542785,8853
160,35.0,0.003748764,9400
170,35.0,0.003983544,9954
180,36.0,0.00426248,10499
190,35.0,0.004525287,11052
200,36.0,0.004788586,11598
210,36.0,0.004994367,12141
220,35.0,0.005200754,12684
230,35.0,0.005483496,13236
240,35.0,0.005791759,13795
250,35.0,0.006118269,14350
260,36.0,0.006452013,14906
270,35.0,0.006782756,15459
280,35.0,0.007074456,16006
290,35.0,0.007310312,16547
300,35.0,0.007589747,17087
310,35.0,0.007878011,17631
320,35.0,0.008125272,18173
330,35.0,0.008334348,18724
340,35.0,0.008537391,19280
350,35.0,0.008738571,19829
360,35.0,0.008936906,20377
370,35.0,0.009141288,20929
380,35.0,0.009336537,21470
390,35.0,0.009536811,22021
400,35.0,0.009737451,22565
410,35.0,0.009938171,23111
420,35.0,0.010140726,23661
430,35.0,0.010345155,24209
440,35.0,0.010561024,24760
450,35.0,0.010832158,25303
460,35.0,0.011044817,25851
470,35.0,0.011242941,26397
480,35.0,0.011440715,26948
490,35.0,0.011636809,27501
500,35.0,0.011831396,28047
510,35.0,0.01202988,28586
520,35.0,0.012227102,29144
530,35.0,0.012423186,29701
540,35.0,0.012618584,30252
550,36.0,0.012814661,30809
560,36.0,0.013008202,31355
570,36.0,0.013203396,31902
580,36.0,0.013398545,32451
590,35.0,0.013596602,32993
600,35.0,0.013796871,33547
610,35.0,0.013996083,34108
620,35.0,0.014191616,34658
630,35.0,0.014392103,35204
640,35.0,0.014630189,35756
650,35.0,0.014842312,36307
660,35.0,0.015053901,36853
670,35.0,0.015277784,37400
680,35.0,0.015481292,37948
690,35.0,0.015683358,38495
700,35.0,0.015888132,39040
710,35.0,0.016095067,39595
720,35.0,0.016297443,40143
730,35.0,0.016497746,40686
740,35.0,0.016710321,41232
750,35.0,0.016911927,41781
760,35.0,0.017113357,42336
770,36.0,0.017334197,42890
780,35.0,0.017542048,43436
790,35.0,0.017744459,43981
800,35.0,0.017949141,44533
810,35.0,0.018163882,45070
820,35.0,0.018382279,45622
830,35.0,0.018592388,46168
840,35.0,0.018798825,46717
850,35.0,0.019016898,47264
860,36.0,0.01927282,47816
870,35.0,0.019534307,48360
880,35.0,0.019784615,48912
890,36.0,0.01997929,49469
900,36.0,0.020174151,50018
910,35.0,0.020369242,50570
920,35.0,0.020561585,51116
930,35.0,0.02075305,51667
940,36.0,0.0209462,52216
950,35.0,0.021136783,52754
960,35.0,0.021346115,53300
970,36.0,0.021558598,53847
980,36.0,0.021774521,54393
990,36.0,0.021977838,54938
1000,36.0,0.022175225,55485
