iterations,fitness,time,fevals
0,30.0,0.000295652,647
10,32.0,0.000586107,1205
20,29.0,0.000888128,1755
30,29.0,0.001132719,2295
40,29.0,0.001377082,2839
50,29.0,0.001619419,3381
60,28.0,0.001870202,3931
70,30.0,0.00211419,4476
80,30.0,0.002358145,5025
90,30.0,0.002605707,5574
100,31.0,0.002883873,6115
110,32.0,0.003287752,6677
120,32.0,0.00354313,7238
130,31.0,0.003784499,7792
140,32.0,0.004027535,8344
150,32.0,0.004297573,8897
160,32.0,0.004612961,9444
170,32.0,0.004888355,9994
180,32.0,0.005281381,10541
190,32.0,0.005657964,11086
200,31.0,0.005996702,11635
210,31.0,0.006373545,12176
220,32.0,0.006628778,12728
230,32.0,0.006875158,13271
240,32.0,0.007107724,13815
250,32.0,0.007373171,14357
260,32.0,0.007613626,14907
270,32.0,0.007838625,15453
280,33.0,0.008036017,15992
290,32.0,0.008233081,16537
300,32.0,0.008425472,17077
310,32.0,0.008619666,17624
320,32.0,0.008878203,18173
330,33.0,0.009121991,18720
340,33.0,0.009317949,19269
350,32.0,0.009507687,19816
360,32.0,0.009699473,20365
370,32.0,0.009892596,20908
380,32.0,0.010088554,21448
390,32.0,0.010289657,21992
400,32.0,0.010505099,22534
410,32.0,0.010720503,23092
420,32.0,0.010936352,23642
430,32.0,0.011174488,24193
440,32.0,0.011375446,24754
450,32.0,0.011575533,25302
460,32.0,0.011775096,25849
470,32.0,0.011974199,26392
480,32.0,0.012173459,26938
490,32.0,0.012373166,27482
500,32.0,0.012571397,28020
510,33.0,0.012767746,28577
520,33.0,0.013039249,29128
530,33.0,0.013267617,29680
540,33.0,0.013489908,30232
550,33.0,0.013718706,30775
560,34.0,0.013933575,31315
570,33.0,0.014183347,31858
580,34.0,0.014399613,32406
590,34.0,0.014616304,32953
600,34.0,0.014855781,33509
610,34.0,0.015072732,34056
620,34.0,0.015286905,34608
630,33.0,0.015502157,35150
640,33.0,0.015728373,35689
650,33.0,0.015956479,36237
660,33.0,0.016185374,36780
670,33.0,0.016441464,37326
680,33.0,0.016711514,37878
690,33.0,0.017000001,38427
700,33.0,0.017215649,38964
710,33.0,0.017430973,39513
720,33.0,0.017643438,40059
730,33.0,0.017879627,40603
740,33.0,0.018112261,41146
750,33.0,0.018392057,41696
760,33.0,0.018609585,42246
770,33.0,0.018824932,42788
780,33.0,0.019042111,43338
790,33.0,0.019261245,43887
800,33.0,0.019483567,44438
810,33.0,0.019705925,44981
820,33.0,0.019927951,45528
830,33.0,0.020144777,46073
840,33.0,0.020378675,46623
850,33.0,0.020594684,47169
860,33.0,0.020810654,47712
870,33.0,0.021028625,48256
880,33.0,0.021278031,48799
890,33.0,0.021509964,49345
900,33.0,0.021746958,49889
910,33.0,0.021980707,50440
920,33.0,0.022237586,50994
930,33.0,0.022474148,51544
940,33.0,0.022720598,52101
950,33.0,0.022962129,52651
960,33.0,0.023243304,53202
970,33.0,0.023481565,53752
980,33.0,0.023760979,54296
990,33.0,0.023998011,54839
1000,33.0,0.024268044,55382
1010,33.0,0.024537995,55932
1020,33.0,0.024793111,56477
1030,33.0,0.025143971,57019
1040,33.0,0.02551924,57571
1050,33.0,0.025929037,58123
1060,33.0,0.026398965,58679
1070,33.0,0.026821354,59232
1080,33.0,0.027124284,59782
1090,34.0,0.027587887,60338
