k,Spambase log-likelihood
2,50.302212189116716
3,54.35976314204798
4,55.58955972129735
5,56.4482446460553
6,57.63917326163399
7,58.65633626767495
8,59.173695010406774
9,59.78004547925829
10,60.311809254189555
15,61.33860057423032
20,62.7744614775752
25,64.50885359935093
30,65.30090393919798
35,66.01650931353343
40,66.5995090879468
