k,Spambase sse (left)
2,10.871047826543364
3,10.38538876008167
4,9.902719976389847
5,9.567915632110049
6,9.008536820709832
7,8.652903360507832
8,8.10646484454126
9,7.855115791826536
10,7.468177968495002
15,5.847426460292737
20,4.907773016071754
25,4.37568040945404
30,3.888537429888453
35,3.5868877602436253
40,3.340776109053052
