k,PenDigits sse (left)
2,3.5927355201458497
3,3.07867745476047
4,2.6684839858939737
5,2.365325680142792
6,2.097978532247945
7,1.9357705890226922
8,1.7850902060951641
9,1.650900323310664
10,1.5263874437817708
15,1.1426066966622253
20,0.9591412827043753
25,0.8412236631305695
30,0.7419861209545564
35,0.6733182097518369
40,0.6224219582308923
