k,PenDigits log-likelihood
2,18.98564754233051
3,19.494547527837266
4,19.95451374572835
5,20.250035296946393
6,20.446555566689728
7,20.77148029496
8,20.906526561521652
9,21.072093002602852
10,21.282173101502845
15,21.917616656640906
20,22.12360980687993
25,22.281174360862508
30,22.305253030030286
35,22.521888502238873
40,22.639753369627932
