,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.2299611568450928,0.3965851886014906,0.006262636184692383,0.0001519233867337844,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.19734513274336285,0.22067307692307697,0.2502860610263523,0.25937933425797505,0.1946589446589447,0.2244359684536076,0.026538520158956934,289,0.20003783292978206,0.2155968642950055,0.2610352581689853,0.24350199800483396,0.19777829700922683,0.2235900500815667,0.024833339796570812
1,1.6163777351379394,0.2921609569037681,0.006192445755004883,0.0005183313346097824,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",0.31319471457745796,0.3305911927877948,0.3544642857142857,0.29025658807212207,0.33331310679611653,0.32435242232316763,0.021492067208538204,265,0.3101466736860182,0.3376081061222949,0.3422290457325501,0.2973116960683432,0.34421776725888575,0.32630265777361844,0.018994240316936275
2,1.5036555290222169,0.3363955404918073,0.007340764999389649,0.0015908965129813669,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",0.40532796849168534,0.3876560332871013,0.3931952149791955,0.4007801664355063,0.4120133135909835,0.3997904467302334,0.008622068029164116,247,0.40448285672699974,0.38108168946639853,0.39271421495506936,0.4067861172902329,0.4168933712470392,0.40039164993714793,0.012343026964260153
3,1.9314962387084962,0.6567836931153694,0.006481599807739258,0.0005043066260181395,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.4768337304288632,0.46494585511575814,0.4302011095700416,0.48376386962552015,0.46265603328710125,0.46369834844559127,0.01842737430020795,229,0.4721329521151875,0.4788166060431965,0.4309479023075248,0.4828744914313642,0.46027662218068055,0.4650097148155908,0.018671530391235043
4,1.5593547821044922,0.47222673948696486,0.006512498855590821,0.0005670497604084004,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.5574358163959934,0.5409434012589354,0.5534587378640777,0.5482142857142857,0.547173439042371,0.5494496299307526,0.005644440023335534,212,0.5455379767345223,0.54638922625983,0.5548310139511664,0.5548318504468335,0.548087207604773,0.5499354549994251,0.004080949831179913
5,1.143853759765625,0.12048515599301614,0.00745859146118164,0.0012687850681942757,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.6100985850432753,0.6248032913688255,0.6227028432732317,0.6084864771151178,0.6163661581137311,0.6164893581495653,0.006523180900684458,199,0.6029835856508146,0.6270453009118169,0.6239684401037158,0.6121547732409592,0.6067096977969575,0.6145723595408528,0.009442737419605591
6,1.238649606704712,0.4089012940897085,0.008778142929077148,0.003712228746492246,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.6734993435767772,0.6931505387816068,0.6978588765603329,0.6625,0.6816920943134537,0.6817379429322996,0.012864633721741047,172,0.6656392023245624,0.6875872425818829,0.7013524002205987,0.6634593966334603,0.670991968721476,0.677806042096396,0.014494086282908178
7,1.3522549629211427,0.17307463437621026,0.007466363906860352,0.0004928589743726315,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.7686071671691141,0.7471133841886269,0.6829837031900139,0.7210298196948683,0.7397520960627757,0.7319547975281671,0.028821238960074415,159,0.774556989712375,0.7423390563381881,0.6877920623171133,0.7171399294469795,0.7358862376277695,0.7315428550884849,0.02866082638692411
8,1.9318124294281005,0.7049421011103777,0.008052206039428711,0.0005657761718174727,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.7524694884761256,0.833664515096554,0.7194261442441053,0.8185939667128987,0.8221983512638853,0.7892495165936011,0.045041659262866685,125,0.7542553402304916,0.8320187302301297,0.7231009554651816,0.8281400800165164,0.8209760863237952,0.791698238453223,0.04453874742344559
9,1.9308409690856934,0.1543082740981741,0.008848142623901368,0.00020925956176014017,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.8637253233492171,0.8715819374799958,0.8486130374479889,0.8561806518723994,0.8512136703277481,0.8582812271784934,0.008420557594814115,108,0.8631174240299716,0.8641690127331969,0.8575528751913021,0.8690669603581892,0.8408106813148959,0.8589433907255112,0.00977696297959983
10,2.4359343528747557,0.6031755829830482,0.009790420532226562,0.00021082712048481236,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",0.8739667412233785,0.8763209484690069,0.873500346740638,0.8745492371705965,0.892407082880384,0.87813942936302,0.007185412168165772,85,0.880591167807428,0.8755176694204376,0.8856774713843658,0.8743358710686422,0.8887489805628611,0.8809742320487469,0.0055956380357855455
