k,Spambase BIC
2,-224129.69511067963
3,-241100.93585671723
4,-245324.65988619684
5,-247875.41257722914
6,-251923.91982648132
7,-255189.09170793742
8,-256201.1459703959
9,-257614.374934202
10,-258691.36708181558
15,-256719.1476036766
20,-256591.01380707254
25,-257808.65874315475
30,-254778.2269263025
35,-251403.181204924
40,-247430.3494390967
