k,PenDigits BIC
2,-204002.89853847213
3,-209243.19294987133
4,-213956.47068404977
5,-216898.67935815957
6,-218774.64423078677
7,-222033.52512174906
8,-223247.41498010952
9,-224790.0071180455
10,-226812.0113506899
15,-232452.94627698412
20,-233468.70034251575
25,-233962.87842636544
30,-233019.41353075975
35,-234149.78540390357
40,-234216.39786314106
