,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
130,2.775196409225464,0.3617860321946525,0.00880727767944336,0.0006042471475365719,0.01,"(25, 25)",20,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 20}",0.8570696301156401,0.8518747170432562,0.8039984360209078,0.8071956292295275,0.7796920593530763,0.8200060890445336,0.02978568431343527,176,0.8273964298612186,0.8270898032292567,0.8240145355205342,0.8308388762139326,0.7838115716559669,0.8186302432961817,0.01754304076505001
131,2.6649532318115234,0.26550613375935117,0.008063507080078126,0.002751758276624384,0.01,"(25, 25)",25,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 25}",0.8135200524891331,0.879110589784747,0.8560316088405976,0.8586328925311976,0.8562736698329919,0.8526921687528854,0.021428824909343495,61,0.8362430996233813,0.8567755112560081,0.8601999922683401,0.8556920847793721,0.8453410850019881,0.8508503545858179,0.00882824451986752
132,3.615792751312256,1.1816720401410854,0.007855367660522462,0.001058702068590453,0.01,"(25, 25)",30,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 30}",0.8269908964159763,0.8843581512120837,0.8469872823805408,0.8710808965046253,0.8614577512882596,0.8581539783660572,0.019814846587180125,39,0.8596643966362276,0.8379302346558768,0.8611696712755951,0.8662605533486977,0.8314610428464992,0.8512971797525793,0.013881833489867617
133,3.1557006359100344,0.5725132820743043,0.011087799072265625,0.002237491840904,0.01,"(25, 25)",35,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 35}",0.8479250389567785,0.890706671605548,0.8488187842120426,0.84643322778916,0.876420189979512,0.862055073725865,0.018145765671604537,15,0.8672741577671155,0.8470851642333417,0.8604235660992487,0.8552404188268781,0.8393742045982424,0.8538795023049653,0.009804696334564886
134,4.449102878570557,0.8593378137526195,0.014704418182373048,0.002735642376840777,0.01,"(25, 25)",40,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 40}",0.8434142540802099,0.8754372967856113,0.835751327324361,0.8503135282796299,0.8597814614763767,0.8529334772440351,0.013758810026306429,60,0.8401627715007997,0.8424571215030346,0.8599661095576202,0.8477107227555998,0.8292419604103854,0.8439077371454881,0.010035418125253652
135,0.597623872756958,0.1069385463256677,0.0036900520324707033,0.00015180771276958734,0.01,"(100, 25, 100)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 2}",0.7026572623636512,0.6313536650615302,0.6969378935671069,0.49999999999999994,0.5,0.6063267859493725,0.09023917714460016,282,0.6960209977815611,0.644173549991624,0.6977668389108668,0.49999999999999994,0.4999999999999999,0.6075922773368104,0.08993494976777076
136,0.7359766006469727,0.07906322532839441,0.004089784622192383,0.00014701372912612952,0.01,"(100, 25, 100)",3,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 3}",0.7935700811941278,0.7634687409968307,0.6852183397127217,0.7646985782579001,0.6383559942881977,0.7291153982899281,0.05789734777891515,251,0.8128347005107568,0.7507970052704147,0.7047485277631019,0.7713894711647963,0.6459736746949968,0.7371486758808132,0.057358057359667224
137,1.1212502479553224,0.18818983659545394,0.004262208938598633,0.0004939501321383484,0.01,"(100, 25, 100)",4,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 4}",0.6974903633232181,0.803381075852986,0.801827386097049,0.7403613335816727,0.7498292667784192,0.7585627465499564,0.040072034358067415,232,0.7161146365371718,0.7567220339419868,0.809469994716699,0.7366066890312085,0.7568872623767408,0.7551601233207614,0.031060472202640115
138,1.0081701755523682,0.17183041795761808,0.0045067787170410155,0.00020061630149541688,0.01,"(100, 25, 100)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 5}",0.8458131714918397,0.7653208215005968,0.7793554759846892,0.7958030669895076,0.6856646178680078,0.7744529821943467,0.052034048881210694,208,0.8618170561832534,0.7515721041712304,0.793206448204322,0.7975893134034122,0.6948604017639419,0.779809064745232,0.05519880265071288
139,1.2381847858428956,0.19186875590666935,0.0048858642578125,0.0009169237767282967,0.01,"(100, 25, 100)",6,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 6}",0.851021077667514,0.7420669218422026,0.6908980532576038,0.7279133296082448,0.8234618488855776,0.7671018461392853,0.06033511608501963,220,0.868816746633648,0.6986089455304564,0.6902246047188897,0.7129495588214477,0.818835628336827,0.7578870968082538,0.07229329855643109
140,1.2702453136444092,0.2675453314469151,0.005188512802124024,0.00013116822125547732,0.01,"(100, 25, 100)",7,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 7}",0.8548142376773559,0.764456517265506,0.8231777585710169,0.7748804867448935,0.7602595144968026,0.7955688085142857,0.03720790664500158,183,0.8480034050456585,0.7466914938855458,0.8161166449750654,0.7896562062890945,0.7780537958598575,0.7957043092110443,0.03435763412433296
141,1.4443212509155274,0.37398553904216353,0.005178213119506836,0.00026602287360337983,0.01,"(100, 25, 100)",8,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 8}",0.8131099811367176,0.9020660986953121,0.8855825822117956,0.8371205066120321,0.8694046066927421,0.8614425765528174,0.032342090176562734,24,0.8194435845844297,0.8652564978158062,0.8853961831372498,0.859070571839979,0.8655232183322332,0.8589380111419395,0.021647865457663718
