,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
17,0.36283273696899415,0.04902227287489316,0.001754426956176758,0.00011704109621930441,0.1,"(50, 50)",53,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 53}",0.9219646776889462,0.9226731273975369,0.917090652130022,0.9407126993741166,0.9031063139758794,0.9211153507479939,0.012060059794060081,50,0.942767146646457,0.9423093065894985,0.9344518323797744,0.9485409441339548,0.9343265597966175,0.9404791579092606,0.005436172373280305
18,0.37606062889099123,0.0711065188029038,0.0016789436340332031,5.4368010062255925e-05,0.1,"(50, 50)",57,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 57}",0.9219646776889462,0.9258328285887342,0.9196547546941247,0.9059660811629315,0.9215871085436301,0.9190012073931719,0.006818870618416042,79,0.9495926487305797,0.9394773465285297,0.951892023238861,0.9051646822328747,0.950004602843927,0.9392262607149544,0.01757447224031683
19,0.12098231315612792,0.016840198245864194,0.0011808395385742188,5.0196799613858124e-05,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 2}",0.8893056366675393,0.8606803957197658,0.8411871592973954,0.8911265899454875,0.877196716327151,0.8719030601257352,0.018816259324707967,362,0.8832007073386383,0.8832556495615101,0.8588305462899558,0.871823985508847,0.879742820824527,0.8753707419046955,0.009260159323033436
20,0.3336342811584473,0.04463294983504559,0.001230001449584961,4.194568199406554e-05,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 5}",0.8959864671647502,0.871350696547547,0.8675550171613162,0.8923682616596001,0.8936505523462045,0.8841829244152681,0.012142403981921656,348,0.8931429202980927,0.8900616315801101,0.8877465815458703,0.8857761381961166,0.8921033483482727,0.8897661239936925,0.0027185008391426876
21,0.22600212097167968,0.05467007643663461,0.0012542247772216798,4.936533686422543e-05,0.1,"(50,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 8}",0.8809281672271785,0.9000100948919848,0.8921865536038763,0.9074298405007066,0.8768267963920138,0.8914775642408026,0.01143290120257193,336,0.8852200959959582,0.9002849632198636,0.9008526806423821,0.9114427091387043,0.8853939151664337,0.8966388728326683,0.010070166414778928
22,0.2511793613433838,0.09263745053964163,0.0012462615966796875,2.3746011721522603e-05,0.1,"(50,)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 11}",0.8927391908492257,0.8804159095497678,0.9026246719160105,0.9158994548758326,0.8799787169352387,0.8943355517053126,0.013680780980223604,332,0.8957843880257673,0.888042589851775,0.9124544390200799,0.9119618281826416,0.8889406270965009,0.8994367744353529,0.01076729344247093
23,0.21447978019714356,0.04714418770870224,0.0012638092041015625,5.2779088708547124e-05,0.1,"(50,)",14,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 14}",0.9074954185713997,0.8985463355542097,0.9046840298808801,0.9066525338178881,0.9047076112293505,0.9044180515894232,0.0031339850628955327,277,0.907910193255021,0.9084649539419912,0.9127747465152753,0.8926020013695907,0.8951812637770056,0.9033866317717768,0.007975274037118094
24,0.2565762042999268,0.05383395286233014,0.0012980461120605468,3.483607932870955e-05,0.1,"(50,)",17,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 17}",0.9043488329943411,0.920795477488391,0.8993741166969513,0.8994649707248132,0.8872960372960372,0.9022611829393918,0.010841096862832595,305,0.9110616395099153,0.9189820848704411,0.9161015264308909,0.8935143254765954,0.9063686966259263,0.9092056545827539,0.008953685915111958
25,0.2534113883972168,0.04567272663076006,0.0013187885284423827,3.3046776023908445e-05,0.1,"(50,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 20}",0.9204845238334977,0.9025741974560872,0.9111851403189986,0.9019382192610537,0.8945069423330293,0.9061458722124279,0.0089109589497246,259,0.9092632941770874,0.9103116923280834,0.9197950032030752,0.893638030440257,0.9030723037423014,0.9072160647781609,0.00864335029998272
26,0.365934419631958,0.12179777276380613,0.0014871597290039063,0.00017779585615721553,0.1,"(50,)",23,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 23}",0.9120214672654409,0.9182313749242883,0.9184635574399354,0.9146174035937815,0.8780024323502585,0.9082778120324165,0.015311598785847081,243,0.9075123152709359,0.921568844021295,0.9308555523647529,0.9282444940246086,0.8991352958682856,0.9174633003099755,0.012226036906851595
