,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.0892759799957275,0.12451602847422372,0.0027924537658691405,0.00019799060888774694,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.6781202786637569,0.6698817567567569,0.6797297297297297,0.6772724765581908,0.6883428796046722,0.6786621010071182,0.005898214301517887,287,0.6895293650946325,0.6831785380215213,0.6911429145130726,0.6789936809118298,0.6839578403293217,0.6853604677740756,0.004429007818954679
1,2.007046031951904,0.30002927175227406,0.0029781818389892577,0.000310287454188646,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 3}",0.849297884841363,0.8639695945945948,0.836114864864865,0.8366421906600479,0.8630700487742268,0.8498118728941729,0.012142468740321146,262,0.8577309908652736,0.8523593825785842,0.851809529521162,0.8669629670097792,0.8533377264041719,0.8564401192757941,0.005658909592681458
2,1.9310095310211182,0.35238643550098686,0.0029311180114746094,9.231855549531363e-05,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 4}",0.9042200352526438,0.912989864864865,0.9035641891891893,0.8923545228902373,0.8919814529585419,0.9010321474715893,0.007957638850520874,245,0.9143827488006079,0.899605602846665,0.9149186980910116,0.9149989734334136,0.8998163243136942,0.9087444694970784,0.007379170302872923
3,1.8396841049194337,0.611348530958379,0.0028936386108398436,5.173263444883212e-05,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 5}",0.9508612766493201,0.9271452702702704,0.9323986486486487,0.9214192636514065,0.9382354639969196,0.9340163442936738,0.010105034994882727,227,0.9539034612674036,0.9381535484994866,0.9332317030419984,0.943623654170357,0.9464639270438426,0.9430752588046177,0.007073225584798016
4,1.863103199005127,0.656985699598091,0.002978992462158203,0.00015698710401421118,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 6}",0.9641734514017123,0.9588344594594596,0.9680405405405406,0.9523036173929033,0.9691077846232834,0.9624898969617679,0.006235587124054505,199,0.9701865548881347,0.9638213512919069,0.9746118404686075,0.9663224477706794,0.9791277688887087,0.9708139926616074,0.0055318570139058654
5,1.4314241886138916,0.14398559788458118,0.003032398223876953,0.00020228286538076184,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 7}",0.971239508141682,0.9799662162162163,0.9765202702702704,0.9715418735061594,0.9683091066615327,0.9735193763731386,0.0041661940740614625,166,0.9748117272468637,0.9792492226408657,0.9772418233204049,0.9798771517683174,0.9790113024263049,0.9780382454805514,0.0018351888190133775
6,1.5553994178771973,0.4309220311321964,0.002897977828979492,8.050333158586267e-05,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 8}",0.9761226288400202,0.983918918918919,0.9793918918918919,0.9739866013973159,0.980009145167501,0.9786853605349594,0.003414853402572305,151,0.9827669829519191,0.9821452257654859,0.9888525259967802,0.980095307630285,0.9916595777246853,0.9851039240138311,0.004389306080289776
7,1.6097410202026368,0.08686071789445764,0.0029363632202148438,0.00014253204255009432,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 9}",0.9826805648816518,0.989070945945946,0.9819932432432433,0.9811333655083655,0.9853368470029523,0.9840423865158893,0.0028808058360483453,83,0.9903613679745934,0.9900372897394819,0.9895159449554768,0.9924621688790539,0.9896947520169979,0.9904143047131209,0.001064283474211528
8,1.3171092033386231,0.28051517421046734,0.003046607971191406,0.00028902148457635776,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 10}",0.9837707738794695,0.9922466216216217,0.980168918918919,0.9817030933995221,0.9801670998588117,0.9836145249007613,0.004516114762410048,94,0.9901027449511901,0.9919006006431482,0.9836953899199001,0.9927108717552747,0.9850108192342169,0.9886840853007459,0.0036593316466390566
9,1.5332096576690675,0.15428088077635252,0.002933788299560547,8.890838203716266e-05,0.1,"(50, 50)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 11}",0.989649152257848,0.9954222972972974,0.9839695945945945,0.9807248575105718,0.9878921191117958,0.9875336428208824,0.005018764616747191,41,0.9939313164265255,0.9914706718284059,0.9911850246710604,0.9944148995942738,0.993754500197157,0.9929512825434845,0.0013460813381030558
10,1.3315999031066894,0.38333272610715347,0.002924680709838867,7.045775280753123e-05,0.1,"(50, 50)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 12}",0.9775285378546247,0.9896452702702704,0.9909966216216217,0.9787393132928848,0.9865907778205623,0.9846983150385422,0.0055635445668971275,70,0.9795401239247649,0.9916149859205565,0.9951428114119479,0.9898846842124084,0.992401719751737,0.9897168650442829,0.005363700676449815
