step,reward,mean,median,std,max,min
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.00546448087431694,0.0009107468123861566,0.0,0.0020364917827866936,0.00546448087431694,0.0
6,0.0,0.00078064012490242,0.0,0.0019121699787534568,0.00546448087431694,0.0
7,0.0,0.0006830601092896175,0.0,0.001807207179688928,0.00546448087431694,0.0
8,0.006944444444444444,0.001378769479862376,0.0,0.0026029216994316903,0.006944444444444444,0.0
9,0.007352941176470588,0.001976186649523197,0.0,0.0030512041405787718,0.007352941176470588,0.0
10,0.0,0.001796533317748361,0.0,0.0029641609610448916,0.007352941176470588,0.0
11,0.0,0.0016468222079359975,0.0,0.0028810779695247935,0.007352941176470588,0.0
12,0.0,0.0015201435765563054,0.0,0.002802618684770171,0.007352941176470588,0.0
13,0.0,0.0014115618925165693,0.0,0.002728899649292447,0.007352941176470588,0.0
14,0.0,0.001317457766348798,0.0,0.0026597766738418243,0.007352941176470588,0.0
15,0.0,0.0012351166559519983,0.0,0.00259498787751777,0.007352941176470588,0.0
16,0.0,0.0011624627350136454,0.0,0.002534226537501029,0.007352941176470588,0.0
17,0.0,0.001097881471957332,0.0,0.0024771782416466662,0.007352941176470588,0.0
18,0.0,0.0010400982365911565,0.0,0.002423539400817119,0.007352941176470588,0.0
19,0.0,0.0009880933247615987,0.0,0.002373025868417989,0.007352941176470588,0.0
20,0.0,0.000941041261677713,0.0,0.002325376283248717,0.007352941176470588,0.0
21,0.0,0.0008982666588741806,0.0,0.0022803526244719852,0.007352941176470588,0.0
22,0.0,0.0008592115867492162,0.0,0.002237739340066736,0.007352941176470588,0.0
23,0.0,0.0008234111039679988,0.0,0.002197341798487061,0.007352941176470588,0.0
24,0.006622516556291391,0.0010553753220609345,0.0,0.0024344519103104965,0.007352941176470588,0.0
25,0.0,0.0010147839635201294,0.0,0.002395788617093649,0.007352941176470588,0.0
26,0.0,0.000977199372278643,0.0,0.0023588016951082763,0.007352941176470588,0.0
27,0.0,0.000942299394697263,0.0,0.002323385316206797,0.007352941176470588,0.0
28,0.006329113924050633,0.0011280516198473793,0.0,0.0024855756230574414,0.007352941176470588,0.0
29,0.006756756756756757,0.0013156751244110252,0.0,0.002644432789178755,0.007352941176470588,0.0
30,0.0,0.0012732339913655083,0.0,0.00261179647470982,0.007352941176470588,0.0
31,0.0047169811320754715,0.0013808510895126943,0.0,0.002639570833248858,0.007352941176470588,0.0
32,0.0,0.0013390071171032187,0.0,0.002610025329704881,0.007352941176470588,0.0
33,0.003484320557491289,0.0014021045712322797,0.0,0.0025967778068510883,0.007352941176470588,0.0
34,0.0,0.0013620444406256431,0.0,0.0025700494603004406,0.007352941176470588,0.0
35,0.0,0.0013242098728304863,0.0,0.0025439690702237366,0.007352941176470588,0.0
36,0.0,0.0012884204168080407,0.0,0.002518526863098339,0.007352941176470588,0.0
37,0.0,0.0012545146163657238,0.0,0.0024937105726754393,0.007352941176470588,0.0
38,0.005494505494505495,0.0013632323311898206,0.0,0.002551133847959325,0.007352941176470588,0.0
39,0.0,0.0013291515229100753,0.0,0.0025280180716671483,0.007352941176470588,0.0
40,0.0,0.0012967331930830003,0.0,0.0025054018212625887,0.007352941176470588,0.0
41,0.006493506493506494,0.001420465890712131,0.0,0.0025990933019859603,0.007352941176470588,0.0
42,0.0,0.0013874318002304537,0.0,0.0025775994385884965,0.007352941176470588,0.0
43,0.00546448087431694,0.001480092006459692,0.0,0.0026195825490402894,0.007352941176470588,0.0
44,0.003952569169960474,0.0015350359434263762,0.0,0.002615826429295391,0.007352941176470588,0.0
45,0.006289308176100629,0.0016383896876149468,0.0,0.0026785232323835654,0.007352941176470588,0.0
46,0.0,0.0016035303325593097,0.0,0.0026604014896807623,0.007352941176470588,0.0
47,0.0,0.0015701234506309905,0.0,0.002642486741668267,0.007352941176470588,0.0
48,0.0,0.0015380801149038274,0.0,0.002624788863392997,0.007352941176470588,0.0
49,0.006944444444444444,0.0016462074014946398,0.0,0.0027064017146412613,0.007352941176470588,0.0
50,0.005050505050505051,0.0017129583357889616,0.0,0.0027209878341925907,0.007352941176470588,0.0
51,0.0,0.0016800168293314816,0.0,0.002704946726750744,0.007352941176470588,0.0
52,0.0,0.0016483183985893783,0.0,0.002689039654509577,0.007352941176470588,0.0
53,0.0,0.001617793983800686,0.0,0.0026732770690790523,0.007352941176470588,0.0
54,0.0,0.0015883795477315828,0.0,0.0026576675571285922,0.007352941176470588,0.0
55,0.0035335689045936395,0.0016231150719612623,0.0,0.002646399241333722,0.007352941176470588,0.0
56,0.0,0.001594639368944398,0.0,0.002631723816656165,0.007352941176470588,0.0
57,0.0,0.0015671455867212187,0.0,0.0026171824022229047,0.007352941176470588,0.0
58,0.0,0.0015405837971157743,0.0,0.002602780961358899,0.007352941176470588,0.0
