params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",2.6846620000000003,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",2.635732,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",2.7650000000000006,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",1.8452159999999989,100,0.0002239265597049526,0.0,0.0,0.012658227848101266,0.0014761490929061918
"{""discount_factor"": 0.4}",1.8390619999999984,100,4.878048780487805e-05,0.0,0.0,0.004878048780487805,0.0004853597254178635
"{""discount_factor"": 0.5}",1.8242079999999987,100,0.0024060879606349907,0.0,0.0,0.023809523809523808,0.00543516018293041
"{""discount_factor"": 0.6}",1.8063809999999982,100,0.00923755550143369,0.006872933396315541,0.0,0.047619047619047616,0.010907491197875716
"{""discount_factor"": 0.7}",2.0162759999999977,100,0.010231875714814924,0.009980139026812314,0.0,0.041666666666666664,0.009971151292331674
"{""discount_factor"": 0.8}",1.816479000000001,100,0.010426046504353892,0.011112483022595383,0.0,0.037037037037037035,0.009923315818603489
"{""discount_factor"": 0.9}",1.8797420000000002,100,0.013153967578786632,0.01227409638554217,0.0,0.043478260869565216,0.009785121217698936
