step,reward,mean,median,std,max,min
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0033333333333333335,0.0002777777777777778,0.0,0.0009212846639876111,0.0033333333333333335,0.0
12,0.0,0.0002564102564102564,0.0,0.0008882311833686549,0.0033333333333333335,0.0
13,0.0,0.00023809523809523812,0.0,0.0008584645893961881,0.0033333333333333335,0.0
14,0.0,0.00022222222222222223,0.0,0.0008314794192830981,0.0033333333333333335,0.0
15,0.0,0.00020833333333333335,0.0,0.0008068715304598785,0.0033333333333333335,0.0
16,0.0,0.00019607843137254904,0.0,0.0007843137254901963,0.0033333333333333335,0.0
17,0.0,0.0001851851851851852,0.0,0.0007635380788180854,0.0033333333333333335,0.0
18,0.0,0.00017543859649122808,0.0,0.0007443229275647869,0.0033333333333333335,0.0
19,0.0,0.0001666666666666667,0.0,0.0007264831572567789,0.0033333333333333335,0.0
20,0.0,0.00015873015873015873,0.0,0.0007098628499999331,0.0033333333333333335,0.0
21,0.0,0.00015151515151515152,0.0,0.0006943296507508849,0.0033333333333333335,0.0
22,0.0,0.00014492753623188405,0.0,0.00067977039997441,0.0033333333333333335,0.0
23,0.0,0.0001388888888888889,0.0,0.000666087711571211,0.0033333333333333335,0.0
24,0.0,0.00013333333333333334,0.0,0.0006531972647421808,0.0033333333333333335,0.0
25,0.0,0.0001282051282051282,0.0,0.000641025641025641,0.0033333333333333335,0.0
26,0.0,0.0001234567901234568,0.0,0.0006295085819250353,0.0033333333333333335,0.0
27,0.0,0.00011904761904761906,0.0,0.0006185895741317419,0.0033333333333333335,0.0
28,0.0,0.00011494252873563219,0.0,0.0006082186921987566,0.0033333333333333335,0.0
29,0.0,0.00011111111111111112,0.0,0.0005983516452371671,0.0033333333333333335,0.0
30,0.0,0.00010752688172043012,0.0,0.0005889489865646949,0.0033333333333333335,0.0
31,0.0,0.00010416666666666667,0.0,0.0005799754544614607,0.0033333333333333335,0.0
32,0.002207505518763797,0.00016790420763930698,0.0,0.0006754092265538719,0.0033333333333333335,0.0
33,0.0,0.00016296584859109206,0.0,0.0006660070707327634,0.0033333333333333335,0.0
34,0.0,0.00015830968148848942,0.0,0.000656984959441434,0.0033333333333333335,0.0
35,0.0,0.0001539121903360314,0.0,0.0006483181035584495,0.0033333333333333335,0.0
36,0.0,0.00014975240140803055,0.0,0.0006399839061018532,0.0033333333333333335,0.0
37,0.0051813471502590676,0.0002821627895356894,0.0,0.0010234763785826914,0.0051813471502590676,0.0
38,0.0,0.00027492784621426143,0.0,0.001011253633173341,0.0051813471502590676,0.0
39,0.0,0.0002680546500589049,0.0,0.0009994550790462446,0.0051813471502590676,0.0
40,0.0,0.00026151673176478526,0.0,0.0009880569621338884,0.0051813471502590676,0.0
41,0.0,0.0002552901429132428,0.0,0.0009770373295629328,0.0051813471502590676,0.0
42,0.0,0.00024935316284549296,0.0,0.0009663758600682783,0.0051813471502590676,0.0
43,0.0,0.00024368604550809538,0.0,0.0009560537132098738,0.0051813471502590676,0.0
44,0.0,0.00023827080005235993,0.0,0.0009460533950269385,0.0051813471502590676,0.0
45,0.0,0.00023309100005122166,0.0,0.0009363586380919982,0.0051813471502590676,0.0
46,0.0,0.00022813161707140844,0.0,0.0009269542942061974,0.0051813471502590676,0.0
47,0.0,0.00022337887504908743,0.0,0.0009178262382152837,0.0051813471502590676,0.0
48,0.0,0.00021882012249706525,0.0,0.0009089612816287588,0.0051813471502590676,0.0
49,0.0,0.00021444372004712393,0.0,0.0009003470948983957,0.0051813471502590676,0.0
50,0.0,0.0002102389412226705,0.0,0.0008919721373610847,0.0051813471502590676,0.0
51,0.0,0.0002061958846606961,0.0,0.0008838255939786503,0.0051813471502590676,0.0
52,0.0,0.00020230539627087165,0.0,0.0008758973181170378,0.0051813471502590676,0.0
53,0.0,0.00019855900004363326,0.0,0.0008681777797018283,0.0051813471502590676,0.0
54,0.0,0.0001949488364064763,0.0,0.0008606580181686394,0.0051813471502590676,0.0
55,0.0,0.0001914676071849321,0.0,0.0008533295996975462,0.0051813471502590676,0.0
56,0.0,0.00018810852635712627,0.0,0.0008461845782818024,0.0051813471502590676,0.0
57,0.0,0.00018486527590269304,0.0,0.0008392154602342216,0.0051813471502590676,0.0
58,0.0,0.00018173196614163046,0.0,0.000832415171780763,0.0051813471502590676,0.0
59,0.0,0.00017870310003926995,0.0,0.0008257770294310966,0.0051813471502590676,0.0
60,0.0,0.00017577354102223274,0.0,0.0008192947128510659,0.0051813471502590676,0.0
