step,reward,mean,median,std,max,min
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.008547008547008548,0.0006105006105006106,0.0,0.0022011912548620207,0.008547008547008548,0.0
14,0.009009009009009009,0.0011704011704011706,0.0,0.002985141146097855,0.009009009009009009,0.0
15,0.023809523809523808,0.0025853463353463354,0.0,0.006195576908591242,0.023809523809523808,0.0
16,0.0,0.002433267139149492,0.0,0.006041297143365541,0.023809523809523808,0.0
17,0.0,0.002298085631418965,0.0,0.005897482825632316,0.023809523809523808,0.0
18,0.0,0.0021771337560811247,0.0,0.005763079887561189,0.023809523809523808,0.0
19,0.0,0.0020682770682770683,0.0,0.005637160729658629,0.023809523809523808,0.0
20,0.0,0.0019697876840733984,0.0,0.005518909867064639,0.023809523809523808,0.0
21,0.0,0.0018802518802518804,0.0,0.005407609896891634,0.023809523809523808,0.0
22,0.0,0.0017985017985017986,0.0,0.005302628642317092,0.023809523809523808,0.0
23,0.0,0.0017235642235642237,0.0,0.005203407758692497,0.023809523809523808,0.0
24,0.009523809523809525,0.0020355740355740355,0.0,0.005322484115341443,0.023809523809523808,0.0
25,0.0,0.001957282726513496,0.0,0.0052337849330094605,0.023809523809523808,0.0
26,0.0,0.0018847907736796626,0.0,0.005149232921205561,0.023809523809523808,0.0
27,0.02,0.002531762531762532,0.0,0.006071993576561464,0.023809523809523808,0.0
28,0.023255813953488372,0.003246384994580664,0.0,0.007063776958076876,0.023809523809523808,0.0
29,0.0,0.0031381721614279754,0.0,0.006969455065989849,0.023809523809523808,0.0
30,0.0,0.0030369408013819115,0.0,0.006878506872355621,0.023809523809523808,0.0
31,0.0,0.002942036401338727,0.0,0.00679076659647754,0.023809523809523808,0.0
32,0.0,0.0028528837831163414,0.0,0.006706075126578619,0.023809523809523808,0.0
33,0.007142857142857143,0.0029790594701675412,0.0,0.006646361720344871,0.023809523809523808,0.0
34,0.0,0.0028939434853056116,0.0,0.00656949976296665,0.023809523809523808,0.0
35,0.0,0.0028135561662693447,0.0,0.006495048802922837,0.023809523809523808,0.0
36,0.0,0.0027375141077215243,0.0,0.006422902164578418,0.023809523809523808,0.0
37,0.0,0.002665474262781484,0.0,0.006352957548676257,0.023809523809523808,0.0
38,0.010101010101010102,0.0028561290278642693,0.0,0.006380161999076271,0.023809523809523808,0.0
39,0.0,0.0027847258021676626,0.0,0.006315666541312234,0.023809523809523808,0.0
40,0.0,0.0027168056606513783,0.0,0.00625294333282574,0.023809523809523808,0.0
41,0.0,0.0026521198115882503,0.0,0.006191923709427531,0.023809523809523808,0.0
42,0.0,0.002590442606667593,0.0,0.006132541435196907,0.023809523809523808,0.0
43,0.0,0.0025315689110615115,0.0,0.006074732795299102,0.023809523809523808,0.0
44,0.0,0.0024753118241490333,0.0,0.006018436633411676,0.023809523809523808,0.0
45,0.0,0.002421500697537098,0.0,0.005963594348166841,0.023809523809523808,0.0
46,0.0,0.0023699794061001382,0.0,0.00591014985960673,0.023809523809523808,0.0
47,0.0,0.0023206048351397186,0.0,0.005858049554051001,0.023809523809523808,0.0
48,0.0,0.0022732455527899285,0.0,0.005807242213790143,0.023809523809523808,0.0
49,0.0,0.00222778064173413,0.0,0.0057576789364953305,0.023809523809523808,0.0
50,0.0,0.002184098668366794,0.0,0.005709313048065097,0.023809523809523808,0.0
51,0.0,0.002142096770898202,0.0,0.005662100011727704,0.023809523809523808,0.0
52,0.009345794392523364,0.0022780155939477334,0.0,0.00569342838908593,0.023809523809523808,0.0
53,0.0,0.002235830119985738,0.0,0.005648819898760523,0.023809523809523808,0.0
54,0.0,0.0021951786632587247,0.0,0.0056051973025045545,0.023809523809523808,0.0
55,0.0,0.002155979044271962,0.0,0.0055625273405373946,0.023809523809523808,0.0
56,0.011764705882352941,0.002324553199326014,0.0,0.005655991438425057,0.023809523809523808,0.0
57,0.0,0.0022844746958893586,0.0,0.0056151795724667065,0.023809523809523808,0.0
58,0.0,0.002245754785789539,0.0,0.005575193824375696,0.023809523809523808,0.0
59,0.0,0.0022083255393597133,0.0,0.005536009005036413,0.023809523809523808,0.0
60,0.0,0.002172123481337423,0.0,0.005497600815004067,0.023809523809523808,0.0
61,0.0,0.002137089231638432,0.0,0.005459945822268858,0.023809523809523808,0.0
62,0.0,0.002103167180342584,0.0,0.005423021438077357,0.023809523809523808,0.0
