,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.6482973575592041,0.08820660331800276,0.007282543182373047,0.00021986006325319362,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 2}",0.8313279094588879,0.8101453664445791,0.8075812638804764,0.8371088229355944,0.7886388973345495,0.8149737094679989,0.017482820116303085,366,0.816158267020336,0.8037796284433056,0.8169299078839826,0.8209679913406525,0.8323905910303814,0.8180452771437317,0.009193953202173102
1,0.6759101867675781,0.0868554485912797,0.00724186897277832,0.00015410330885614836,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 3}",0.8670479489296574,0.8525842923480718,0.8558348475671309,0.8905814657783161,0.8087767305158609,0.8549831536794888,0.026650415841839917,336,0.8691770872805356,0.848487927720957,0.8680907464269147,0.8586582429477124,0.8539126695485935,0.8596653347849426,0.008006282743424046
2,0.6708000659942627,0.1285890530151298,0.011241436004638672,0.00790836850882246,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 4}",0.859863664740117,0.8741469816272965,0.8708055723803754,0.882253179890975,0.83660687138948,0.8647424766122795,0.015786408141076257,324,0.8712012125805229,0.8780931763458436,0.8787823897148159,0.8506328834301619,0.8730207771113815,0.8703460878365453,0.010273112466674901
3,0.6436908721923829,0.036227896898346885,0.007420492172241211,0.00021912446536120474,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 5}",0.8689157621281993,0.8893902685241268,0.894245911568746,0.90674338784575,0.8428549711158407,0.8804381536498904,0.02238764767807488,268,0.8767683465959328,0.8854072323223399,0.8873776756720936,0.8751132121319226,0.8949627863221133,0.8839258506088804,0.0072775819968854075
4,0.6440700054168701,0.04914853700774718,0.007662057876586914,0.0004020501072127635,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 6}",0.8838733713273051,0.8874217645871191,0.8884312537855844,0.8744700181708056,0.8572767811898246,0.8783028976227294,0.01160101499269766,282,0.8828817733990147,0.8882657005898077,0.8911219598400671,0.8526762243477876,0.8985328277350981,0.8826956971823551,0.015836949946906806
5,0.6213263988494873,0.07910556695224896,0.0074351787567138675,0.000266460708458212,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 7}",0.9002104436433936,0.8787704421562689,0.8759337775085806,0.9142035130224105,0.8533242120198641,0.8845030386116016,0.02100537305713868,258,0.8897246431729191,0.8852371379973051,0.8843756212860898,0.8858998431597784,0.8933930904376863,0.8877260672107559,0.00337238221259556
6,0.6072118759155274,0.04232253972903991,0.0074847698211669925,0.00012767430446540098,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 8}",0.9093632317699417,0.899737532808399,0.87712497476277,0.9126488996567735,0.8625114016418364,0.8922917583857478,0.019376606238468062,231,0.8997015915119364,0.8960502772316596,0.8744505069694493,0.8837593054849898,0.8990016242364324,0.8905926610868935,0.009906893933575524
7,0.6039287567138671,0.060474901622011024,0.007458114624023437,0.0001305779705859135,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 9}",0.904635801598969,0.9037653947102765,0.8883403997577225,0.9086210377548957,0.8663575554879903,0.8943559255160426,0.015599676328231454,225,0.8938913098395858,0.9034880381718174,0.8897214429300405,0.8868143762839913,0.905282614617119,0.8958395563685106,0.007353250643403733
8,0.6317658424377441,0.05250909583464278,0.007403421401977539,5.299491033975987e-05,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 10}",0.9086735002114504,0.9051383000201898,0.8955279628507974,0.9209368059761759,0.8781088476740652,0.901686575474653,0.014313303193363703,197,0.9015773020083365,0.9020588040380835,0.8964456913119352,0.9074311338885329,0.9120790604649754,0.9039183983423728,0.005361266467562928
9,0.7623485088348388,0.05189372001275934,0.007321643829345703,7.298543750979348e-05,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 15}",0.9296373119600458,0.9168584696143752,0.9230870179689077,0.9343024429638601,0.8972838755447451,0.9202438712614474,0.012898871557144132,80,0.9279351395730707,0.9312244582385298,0.9307804457796726,0.9260023415582408,0.9296937658577432,0.9291272302014514,0.0019307231254724574
10,0.6800809860229492,0.09357938892488289,0.007496833801269531,0.00024458929647061024,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 20}",0.9356435145095354,0.933020391681809,0.9111851403189983,0.9124671916010497,0.9118121009425358,0.9208330688708997,0.011068357320546346,76,0.9323686371100163,0.9337869182000929,0.9200910115089798,0.9050674854757117,0.9415133015884226,0.9265654707766446,0.012754181143199468
