k,Spambase BIC
2,20588.993931937286
3,17685.079233888617
4,16991.485139269847
5,16438.731063797295
6,16012.244290935125
7,16126.690038014538
8,15847.944570605187
9,15863.587404659955
10,15821.885575252914
15,15531.02870849393
20,14995.086753086252
25,15187.520130024563
30,15129.196889021834
35,14321.3511457114
40,14480.485510738612
