k,PenDigits BIC
2,62468.54415603561
3,58831.21335328302
4,56171.69266146532
5,55949.71482034171
6,54701.42125342927
7,53180.95922259907
8,52896.053779195776
9,52252.350481820875
10,52000.34080510883
15,51109.52598255414
20,50752.24230320873
25,50667.27830937182
30,50802.055373174575
35,51023.11037807648
40,51306.48431152824
