k,Spambase log-likelihood
2,-4.534672839338929
3,-3.8733775165805735
4,-3.7023928866859936
5,-3.5626504970634225
6,-3.4509177131663136
7,-3.45917883342661
8,-3.380219187385051
9,-3.3665630687312733
10,-3.3401863060087713
15,-3.1900354738239955
20,-2.9855179405192787
25,-2.9425743496160672
30,-2.844005954378109
35,-2.5791725852475813
40,-2.5288423457394242
