k,PenDigits log-likelihood
2,-5.785079672872181
3,-5.439374517008811
4,-5.18445952929167
5,-5.155871640060518
6,-5.031989811573206
7,-4.882837002220736
8,-4.848406252982184
9,-4.780660939772267
10,-4.749284579270137
15,-4.626686301458232
20,-4.553626662755824
25,-4.505852045920499
30,-4.4784804985039015
35,-4.459119901978589
40,-4.445545649794024
