k,Spambase sse (left)
2,17585.345633476485
3,12326.121134595454
4,9776.063942661971
5,7432.887837664706
6,5789.9752471994325
7,4922.752180525586
8,4374.15306833656
9,3875.246920201284
10,3530.115912396539
15,2261.245519008882
20,1682.7156125990805
25,1362.1674343202526
30,1123.5169257097705
35,958.6127010082881
40,838.0620796863751
