k,PenDigits sse (left)
2,37227.59178135035
3,27047.661636531993
4,19291.007823773936
5,15610.288063138214
6,12411.393247069067
7,10282.863144947085
8,8877.035794837382
9,7812.516382024896
10,7091.3646836011285
15,5014.112690387358
20,3908.4024171370556
25,3250.8346982059593
30,2841.2211523108044
35,2543.1961105095884
40,2308.747400602758
