,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.157883358001709,0.005244614782949665,0.0013866424560546875,0.0002087971311925455,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 2}",0.5,0.5000000000000001,0.5,0.4999999999999999,0.4999999999999999,0.5,8.597524673505621e-17,235,0.4999999999999999,0.5,0.5,0.5,0.5,0.5,4.965068306494546e-17
1,0.1576563835144043,0.00214135884548332,0.0013124465942382813,0.0001254228938640076,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 3}",0.5,0.5000000000000001,0.5,0.4999999999999999,0.4999999999999999,0.5,8.597524673505621e-17,235,0.4999999999999999,0.5,0.5,0.5,0.5,0.5,4.965068306494546e-17
2,0.16134467124938964,0.0062646502982139935,0.00129241943359375,7.118643787209665e-05,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 4}",0.7412499748273154,0.5000000000000001,0.5486169997981021,0.620260448213204,0.4999999999999999,0.5821004069201552,0.09101178981198438,162,0.7267778198812681,0.5,0.5614283505268506,0.6134705869358722,0.5024606299212598,0.5808274774530501,0.08416394130578081
3,0.16646232604980468,0.006541099052609491,0.0013138771057128907,5.5401501240988115e-05,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 5}",0.5,0.5000000000000001,0.5,0.4999999999999999,0.4999999999999999,0.5,8.597524673505621e-17,235,0.4999999999999999,0.5,0.5,0.5,0.5,0.5,4.965068306494546e-17
4,0.16432275772094726,0.0024006803172182127,0.001264667510986328,1.7147981790978035e-05,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 6}",0.5,0.5000000000000001,0.5,0.4999999999999999,0.4999999999999999,0.5,8.597524673505621e-17,235,0.4999999999999999,0.5,0.5,0.5,0.5,0.5,4.965068306494546e-17
5,0.17530221939086915,0.003916637337677108,0.0013254642486572265,9.244525992372424e-05,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 7}",0.5,0.5137795275590551,0.5059055118110235,0.5078740157480314,0.4999999999999999,0.505511811023622,0.005193270062312175,208,0.4999999999999999,0.5134727959530805,0.510689434270693,0.5070931542556717,0.5,0.506251076895889,0.00549023244178194
6,0.1710258960723877,0.004560780648284864,0.001248931884765625,2.1453751099812754e-05,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 8}",0.5,0.5000000000000001,0.5,0.4999999999999999,0.4999999999999999,0.5,8.597524673505621e-17,235,0.4999999999999999,0.5,0.5,0.5,0.5,0.5,4.965068306494546e-17
7,0.36986665725708007,0.24487143047100512,0.0012849807739257813,0.00010027882035890184,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 9}",0.8954981170831908,0.5000000000000001,0.5,0.4999999999999999,0.8922620857403465,0.6575530455433853,0.1929649979331856,143,0.893018188707844,0.5,0.5,0.5,0.9012819235600035,0.6588600224535696,0.19458054638707742
8,0.4036144733428955,0.18705935135072047,0.0012615680694580077,1.5751224069786992e-05,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 10}",0.8914604184707091,0.5000000000000001,0.8950232182515647,0.4999999999999999,0.8848383500557414,0.734266453898589,0.19130566285844752,124,0.8909293292913981,0.5,0.9055777684508162,0.5,0.8953297527831442,0.7383673701050717,0.19468418761846426
9,0.5570282459259033,0.19816786150792,0.0012783527374267579,1.7917532958120017e-05,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 15}",0.9018919789757739,0.8973551383000202,0.9008378760347263,0.4999999999999999,0.8863332319854058,0.8172884769681884,0.1587399085153547,107,0.8881694454970318,0.8992511431664053,0.9018842916786322,0.5,0.8944854777121471,0.8167580716108432,0.1584477138414252
10,0.2325133800506592,0.017482392854749527,0.001364755630493164,3.960315607103666e-05,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 20}",0.5,0.5000000000000001,0.5,0.4999999999999999,0.4999999999999999,0.5,8.597524673505621e-17,235,0.4999999999999999,0.5,0.5,0.5,0.5,0.5,4.965068306494546e-17
11,0.46204557418823244,0.2439501903535537,0.0013579845428466797,2.8023018356795694e-05,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 25}",0.9108433856253901,0.8987280436099334,0.5,0.4999999999999999,0.4999999999999999,0.662041876960613,0.1983686420046653,133,0.899208980674498,0.9056793832423956,0.5004926108374385,0.4993593850096093,0.49967969250480465,0.6608840104537491,0.19724401323770835
