,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.26076316833496094,0.06530360260981373,0.0016402244567871095,0.00017306486554604755,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 2}",0.6503564452141692,0.6424490207954775,0.6396527357157278,0.642398546335554,0.5662764771460422,0.6282527568327196,0.031164156814001805,350,0.6301503094606543,0.6314917493207272,0.6529147982062781,0.6395701252512757,0.6068313770195766,0.6321916718517023,0.01504454151119723
1,0.39640278816223146,0.23074054972383018,0.0016069889068603515,4.9181401508213655e-05,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 3}",0.6109863664740117,0.5937815465374521,0.6191500100948919,0.6103169796083182,0.6450592885375492,0.61584825659763,0.01675750808391904,358,0.6429645067576103,0.6259559521968676,0.6171640637080563,0.6165521659413726,0.6734379965396703,0.6352149370287155,0.02135846418530335
2,0.39072842597961427,0.21528709112378255,0.001760578155517578,0.0001736699977375785,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 4}",0.717456753327829,0.6704219664849587,0.6868160710680394,0.6861699979810215,0.7256106212627952,0.6972925497678061,0.020800915559804133,326,0.7268172919034988,0.7039961121297135,0.6847820804524067,0.6904702997636352,0.7409166342996363,0.7093964837097781,0.021402045467722206
3,0.3649484157562256,0.2199144488577594,0.0016840457916259765,0.00014287051876874638,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 5}",0.7932517067080169,0.7624873813850193,0.7194528568544316,0.753836058954169,0.8080267558528429,0.7674063634263169,0.03106239363685065,293,0.8180923961096376,0.7329099383684199,0.7602752435441472,0.7495858092734543,0.8163518867876941,0.7754430548166706,0.035214271216763626
4,0.43459200859069824,0.04609450470828545,0.0016595840454101563,4.0533794990504755e-05,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 6}",0.7560364097710291,0.7921966484958611,0.7878053704825357,0.7714617403593781,0.7892267153136717,0.7793350693361901,0.013715091644209934,285,0.7778830365037261,0.7978395811703374,0.8014358611853586,0.7886301884291679,0.7985357281572988,0.7928648790891777,0.008634305256174138
5,0.4732229709625244,0.08542136590818737,0.0018630504608154296,0.0002757770462506602,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 7}",0.8103640977102925,0.8090450232182516,0.7747122955784372,0.8356450635978193,0.7880510793554272,0.8035704414008513,0.020872216248091355,242,0.8249778956675509,0.8249618944531577,0.8079900152422188,0.8431111798360911,0.8167529016832538,0.8235587773764544,0.011618824162043028
6,0.44715080261230467,0.06215736704962948,0.0016871929168701173,3.713046170064439e-05,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 8}",0.8276929738002696,0.8408136482939632,0.8344538663436301,0.8547345043408034,0.8313165095773791,0.8378011751495391,0.009500916712101112,198,0.8369963369963371,0.8598113499304159,0.8505754489827475,0.8518787691356114,0.8593875317154864,0.8517298873521197,0.008275046276858137
7,0.49846796989440917,0.16814591419492256,0.0017051219940185547,6.678927877086785e-05,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 9}",0.8294600962603459,0.827538865334141,0.788996567736725,0.8284575005047446,0.8150248302422215,0.8179000550175045,0.015374485603188177,221,0.8468785524820008,0.8457995537785238,0.7947116128034637,0.8317568313857164,0.8628409257138822,0.8363974952327172,0.023051051327087645
8,0.5303408622741699,0.23786109202679578,0.0017035484313964843,3.60239033167107e-05,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 10}",0.8083955937732848,0.8581667676155865,0.8400868160710678,0.8446194225721785,0.7957433870477348,0.8294063266727176,0.0234360592700479,212,0.8179629278767209,0.890406238264596,0.8811725463341358,0.8419337736640969,0.8327512522257589,0.8528453476730616,0.028117144293330173
9,0.8350593090057373,0.21326701525125447,0.0018369674682617188,0.000128464868616288,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 15}",0.8516019896489921,0.8775792449020796,0.8958005249343832,0.8855441146779729,0.8664639708117969,0.8753933534729448,0.015302200530600819,175,0.8858848048503223,0.9146479931078665,0.9263204400362279,0.9027480174070556,0.9277337740293674,0.911467005886168,0.015657718234255616
10,0.54765625,0.1625148898325431,0.0017542362213134766,5.209637448525197e-05,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 20}",0.8989467748756469,0.8907631738340401,0.8595901473854229,0.904956591964466,0.8600537144015404,0.8828741590824325,0.01934274928244343,162,0.9237447896930656,0.9255340299100931,0.8709735138836733,0.9269124566480372,0.8964624937577871,0.9087254567785312,0.021974826099675267
