,0,1,2,3,4,5,6,7,8,9
2,0.365549598008661,0.3320554313034739,0.3714533768459692,0.5195598473321488,0.5086956369291591,0.6102273383577254,0.5712999059959495,0.40858964979316553,0.5553272806831557,0.5275259347376128
3,0.5133807609996104,0.7314973716375245,0.6079778670618049,0.4924726096067855,0.650879753317935,0.5050890404065846,0.5403312910763832,0.6328891786605946,0.5603209692017966,0.6897613202314565
4,0.610218048203902,0.6631140409925275,0.6544071881167823,0.6622541274894264,0.7404072510156324,0.5045746382253753,0.5194558848278829,0.564322669805685,0.550632578411194,0.7084218938263044
5,0.6837806139646307,0.6185220665776404,0.665854852522698,0.5740369149864654,0.698814310256794,0.66742230334709,0.7917305771617567,0.6753828213238482,0.6090847995166435,0.7572321200132426
6,0.6832808475289783,0.7986429591581975,0.728493332369895,0.6858694185454628,0.7073102007269418,0.5709770743150255,0.73472423402515,0.6722728987090457,0.6339557494221698,0.7683291571934266
7,0.6985508968352739,0.7298201071314474,0.7250819582981418,0.7444187641444735,0.8172662192725761,0.6994481712294341,0.8169953330934696,0.6454883968253344,0.6557936501539359,0.8254653798031643
8,0.7526656577679857,0.7625161387801709,0.7861137197635458,0.6839916959469913,0.8317732514817132,0.6863167809950531,0.8125549696896879,0.712665689475055,0.7272243597519521,0.8641730998812129
9,0.7432448995651835,0.7992964720861467,0.8030647881238561,0.7822033298357178,0.7677797194012821,0.8052229272695295,0.8417609938055564,0.8407055975319926,0.8822503901457502,0.8085083699592585
10,0.7940455770701469,0.8159157772174948,0.7541439420835734,0.7424216717293068,0.7868746745651761,0.8505981700246803,0.7920349719805586,0.8248266399886596,0.7812427221633922,0.7865408931094882
15,0.8687977788410758,0.8739045969558009,0.9158618946642221,0.8405081525170115,0.8789862084359037,0.836252673590514,0.8164717642556932,0.8372798271860837,0.8208202669354843,0.8853914924593826
20,0.879977366514412,0.8961904307217375,0.8976663101396302,0.8886789557958915,0.8995917566608234,0.8640912849922078,0.8899093846385363,0.846169664848846,0.8832632658745075,0.8647043482186476
25,0.9093494076958232,0.9162290582864507,0.9086747118026469,0.9023110464852975,0.912531134467635,0.8360867922207258,0.904095709355935,0.8390284479042305,0.9058670567232598,0.8870440977947652
30,0.9285919792293807,0.9426772880348663,0.8859933839670907,0.8675954460095735,0.9266782783792582,0.9205028422089644,0.8898718869225728,0.8941207303909199,0.9075683614141145,0.9341743388044954
35,0.942408947508628,0.9104700640600183,0.9103221083069168,0.9443485650112249,0.9459574389454241,0.9416446971930129,0.9483668823107493,0.9225955424393607,0.9494542290390576,0.9063643670403977
40,0.967630251752412,0.9704117011814555,0.9545509283512166,0.9468330248165715,0.9259953469609352,0.9163052613715589,0.9475289996242751,0.9341498262895147,0.9197513482841779,0.9197328458890299
45,0.919497653720526,0.9190360314457233,0.9570673815025225,0.9326415158224888,0.9255626689980371,0.9356480759607816,0.9329093034373224,0.9413285975959848,0.9242756843811146,0.9458617095681541
50,0.9350493314775598,0.9520316383459169,0.9518797311752822,0.9258304815723072,0.9360237049599383,0.9182306260077662,0.9454693158420004,0.9305645490233997,0.93796106567858,0.9610060423107345
55,0.9621432578518588,0.9439129244066169,0.9509102057479315,0.9515736366103277,0.972803197762212,0.9617651366495881,0.9649885255018739,0.9420441953987574,0.9336049022395496,0.9615026756921141
60,0.970763969698065,0.9599514419643361,0.9618932742394884,0.9345236935655438,0.9669658861413158,0.9690202444449204,0.9602740568641815,0.9559987302847637,0.9601225856181451,0.9741803469875489
