k,Spambase sse (left)
2,96113.00115681316
3,87459.78301849407
4,80307.81324291762
5,75359.62809783137
6,70940.3037865374
7,66557.51311876747
8,63190.05188681137
9,61083.76298302879
10,57995.08316440752
15,47633.16059367516
20,41777.67731753561
25,36840.3667849136
30,33418.353595616136
35,31083.254754199872
40,28681.79171556131
