k,Spambase BIC
2,71632.0228138118
3,50013.367286657915
4,49232.82409403619
5,49028.92834299125
6,47802.372419399864
7,41017.3615698973
8,41505.978103041045
9,42280.856428840736
10,45744.75073071909
15,45211.19869602818
20,48446.212740556264
25,44028.576926043075
30,41431.288051316806
35,42625.6015616435
40,45797.03550314548
