k,PenDigits BIC
2,81655.22014245698
3,74683.48098148624
4,64903.366494915535
5,40870.25875203023
6,36109.94047759417
7,30405.352643908627
8,34543.09397764341
9,24640.784982576875
10,12526.093937882073
15,7343.71791344598
20,-48.006384153492036
25,930.505362174943
30,-902.3206887112356
35,-1704.901649438616
40,-823.0998584059998
