k,Spambase log-likelihood
2,-15.737555839173119
3,-10.864868105497239
4,-10.614654270342244
5,-10.492356904037468
6,-10.143205018534282
7,-8.561032963130653
8,-8.59235411594493
9,-8.687176110075963
10,-9.37849676793341
15,-8.874802021709842
20,-9.207080230060141
25,-7.841787484763307
30,-6.880298408452037
35,-6.759892381176474
40,-7.078066751233491
