,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,3.412148666381836,0.5700749852433036,0.005575799942016601,0.0009848493659752923,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.39471457745794025,0.44657660300864194,0.4053398058252427,0.42172330097087374,0.45152222263872743,0.4239489386027176,0.02227261462651988,292,0.41877166282613254,0.4417088024765166,0.4168376394053585,0.4387787510514606,0.4362511542945207,0.4304696020107978,0.010502000926892028
1,5.0634582996368405,1.053789321694036,0.005495309829711914,0.0004586060293751543,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 3}",0.5782979188952642,0.5856962818734665,0.586121705963939,0.546749306518724,0.5960944040434332,0.5785935681982648,0.016880744372715816,244,0.5727678493364925,0.6034633996595791,0.5943926498565786,0.5585346563328719,0.5748547087762453,0.5808026527923535,0.016087244883439034
2,4.601774263381958,0.7598788880415279,0.005911588668823242,0.0010747640343199746,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 4}",0.5901506126616747,0.5795929798356984,0.5969573509015257,0.57125520110957,0.6078985018305407,0.5891616104959293,0.012833622598362345,238,0.5870278861881868,0.5810125333936684,0.6100833193656254,0.5897837497565084,0.5930086408176076,0.5921832259043194,0.009779714108732743
3,3.5774134159088136,1.325033131126029,0.0064052104949951175,0.001145305566601738,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.5870417193426044,0.616069428144671,0.5693047850208045,0.5459344660194174,0.6900072315727656,0.6016467994195334,0.049700460091875474,229,0.5871327058613617,0.6178874542529619,0.5865916244938287,0.564231634537592,0.6834039086422024,0.6078494655575893,0.04145559120014296
4,7.47406325340271,0.9487813769924983,0.006413173675537109,0.0011620558467457266,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 6}",0.7442192210444424,0.7181105302464527,0.744859570041609,0.7191140776699029,0.7130573621471682,0.7278889020505,0.013765149018997067,165,0.7605452291923668,0.7400485087366454,0.7476079604786611,0.7223390063282625,0.7157717311000502,0.7372624871671972,0.016379497471668076
5,5.91659893989563,2.0077015422674784,0.005591249465942383,0.0004566667895731557,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 7}",0.7317429252163766,0.5909353995519045,0.7183425797503468,0.7629160887656034,0.700751193287601,0.700896005839583,0.05867354589796389,173,0.733458844638711,0.6065218496278861,0.7357632659349166,0.7763254276667714,0.703315032368442,0.7110768840473455,0.05720095037498624
6,7.341082239151001,1.0388354712208403,0.005971050262451172,0.0015165602449223894,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 8}",0.798651901196149,0.7884241971620614,0.7714632454923717,0.8112257281553398,0.7879143706813609,0.7915434998356858,0.013136091691872851,115,0.8116068389019566,0.8137576862432968,0.7682822393813045,0.8203890150919606,0.7805536157340857,0.7989178790705209,0.02058168043497692
7,8.497984552383423,2.417107167685618,0.007821321487426758,0.001706520128250761,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 9}",0.7933792424389771,0.7580703883495147,0.8141730235783634,0.8163054785020805,0.8305726843348203,0.8024500913760768,0.025192626855475995,100,0.7975067017886679,0.7789341151008564,0.8371513192968751,0.8257722937247836,0.8204877057497867,0.8119704271321939,0.020965257690491197
8,8.854332828521729,1.0679234266444109,0.006812000274658203,0.0009630861130491709,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.8200354954779733,0.8193214552437855,0.8455877253814147,0.8066834257975034,0.8449562513276107,0.8272981908557849,0.015399622758256027,75,0.8303524652012974,0.8282557598479601,0.8655232503858614,0.8220311177359969,0.8255048240158467,0.8343334834373926,0.015842236089378257
9,7.196142959594726,1.7962909491211643,0.005482196807861328,0.0003688889118545702,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.8017291889526403,0.817682438920303,0.8400745492371706,0.8779299583911234,0.8594215054166511,0.8392987700203647,0.02749601554334762,69,0.8129608039507685,0.8264588346847334,0.8514764906171979,0.8872323193097179,0.8563235097696761,0.8468903916664188,0.025714402928955528
10,7.121090030670166,0.8033537775014834,0.006015634536743164,0.0009293002977731979,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.8383339006126618,0.8661214392403714,0.8625953536754508,0.8356882801664355,0.867707981907011,0.8540753189139123,0.014068151901081037,52,0.8597909317344162,0.8749993218826744,0.8780136624542976,0.8603850383274028,0.8463124853557829,0.8639002879509146,0.011497395206272527
