k,PenDigits log-likelihood
2,-7.477228443195973
3,-6.777249821851153
4,-5.8165121173494185
5,-3.53237671031151
6,-3.0377296476050075
7,-2.455406674104681
8,-2.7869489900584234
9,-1.8148654630408279
10,-0.6373611329008303
15,0.10707052717353882
20,1.0566413026762624
25,1.2290313870064784
30,1.6624556214958972
35,2.000221073240766
40,2.181590726307827
