k,PenDigits sse (left)
2,35632.04861419787
3,27676.699863470927
4,22798.79468183899
5,20389.335683598947
6,18502.158722607615
7,17101.587061990824
8,15870.832823502553
9,14929.282119611118
10,14118.761462035582
15,11476.423823805017
20,9936.470482326558
25,8845.70361744517
30,7982.942895323163
35,7399.70994083985
40,6932.406781386915
