iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.138953250972,0.138622602085,0.139603465486,0.277719573948,0.277932960894,0.281005586592,0.179672781358,0.179365079365,0.179209183673,0.014661792
10,0.128772735033,0.128590233689,0.129435275293,0.408241662301,0.408170391061,0.413687150838,0.205392731536,0.203851573509,0.206427221172,0.156575525
20,0.126274948114,0.126141589783,0.12683427118,0.41653570805,0.414106145251,0.418994413408,0.210700366127,0.208490566038,0.209726443769,0.285499817
30,0.125473736284,0.125323351087,0.126047853225,0.423607473372,0.417946927374,0.425418994413,0.212735511567,0.209577999052,0.210364683301,0.413925195
40,0.112479618512,0.112351106777,0.112992706673,0.590012222804,0.582751396648,0.591340782123,0.274637009577,0.269113149847,0.274665344571,0.533793211
50,0.114286107017,0.114258903867,0.114790831422,0.571765322158,0.565293296089,0.570111731844,0.259622641509,0.254937163375,0.256162397293,0.660188637
60,0.0909383794345,0.0905117042759,0.0913094604403,0.75240090798,0.756634078212,0.752793296089,0.360108303249,0.361136571952,0.354485776805,0.79002926
70,0.0881723896382,0.0877748739307,0.0885722226907,0.769600139689,0.771298882682,0.768156424581,0.367904191617,0.362220058423,0.357585139319,0.916479033
80,0.0876813401785,0.0872151380965,0.0879977524471,0.764361795006,0.769553072626,0.766480446927,0.369834228345,0.364161849711,0.362804878049,1.044440343
90,0.0830326713232,0.082582932536,0.0833202306787,0.803823991619,0.808659217877,0.797765363128,0.39677852349,0.395143487859,0.376936316695,1.183064179
100,0.0830276446704,0.0825112782581,0.0833537333564,0.801030207788,0.805167597765,0.795251396648,0.39047873763,0.386813186813,0.367558239862,1.309912129
110,0.0797327044086,0.0792831134918,0.0800417365697,0.821285140562,0.831354748603,0.818715083799,0.41397079874,0.420168067227,0.402943882245,1.431556564
120,0.0810438782857,0.0806655457915,0.0813013207069,0.82661079099,0.83030726257,0.81843575419,0.412773506801,0.407317073171,0.390243902439,1.556742859
130,0.0720106587665,0.0717207835647,0.0721951257875,0.88842325825,0.893505586592,0.887709497207,0.538628158845,0.538577912254,0.531468531469,1.677637922
140,0.0765984945747,0.0763871245818,0.0767798670964,0.907368604854,0.911312849162,0.906424581006,0.586354775828,0.584967320261,0.578616352201,1.797237258
150,0.0682015535848,0.0680228331218,0.0683427493134,0.93190151912,0.934008379888,0.93156424581,0.657293497364,0.650646950092,0.650499286733,1.974055084
160,0.0654845142352,0.0654073885476,0.0655491369264,0.962022001048,0.957751396648,0.960335195531,0.770448548813,0.734065934066,0.758503401361,2.178264297
170,0.0611794036493,0.0611021017858,0.0613632296016,0.964030033176,0.95844972067,0.962011173184,0.780383795309,0.736141906874,0.766323024055,2.372758874
180,0.0574990410334,0.0572581461205,0.0575351967258,0.962895058495,0.958100558659,0.962011173184,0.77357485349,0.734513274336,0.766323024055,2.525625778
190,0.0526012628528,0.052648948003,0.052584255801,0.969879518072,0.963337988827,0.968715083799,0.806505888951,0.755244755245,0.799283154122,2.667062911
200,0.0505848098618,0.0505954412597,0.0505894630321,0.969006460625,0.962988826816,0.967877094972,0.79909451047,0.75117370892,0.791288566243,2.794815359
210,0.0494289565776,0.0494643763001,0.0493889468284,0.969530295093,0.963687150838,0.968156424581,0.80338028169,0.757009345794,0.79347826087,2.936118278
220,0.0476378153159,0.0477581425547,0.0477275544975,0.9644665619,0.959497206704,0.961452513966,0.761849034523,0.718446601942,0.737642585551,3.069661857
230,0.0441762112109,0.0443553953719,0.0442010703438,0.965165007858,0.960195530726,0.962290502793,0.768158047647,0.724637681159,0.744801512287,3.201726741
