iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.148492017349,0.148086947781,0.148625147077,0.19818404051,0.198673184358,0.200279329609,0.160204828091,0.162714337833,0.153209109731,0.939911782
10,0.0677649802474,0.0668456840058,0.0674210896957,0.908416273791,0.908519553073,0.908379888268,0,0,0,10.365233204
20,0.112511939844,0.112788285207,0.112635697677,0.802776322682,0.805167597765,0.804748603352,0.154249344815,0.164670658683,0.164874551971,23.778555625
30,0.0478165917016,0.0471499642206,0.0479965085401,0.908416273791,0.908519553073,0.908379888268,0,0,0,36.095096647
40,0.0479399110946,0.0482339781093,0.0481857499463,0.92709970316,0.92562849162,0.924581005587,0.338875692795,0.315112540193,0.300518134715,49.675464691
50,0.0249086109405,0.0253370743133,0.0250632286764,0.934607997206,0.931913407821,0.933798882682,0.445595854922,0.407294832827,0.434367541766,62.658790448
60,0.0228174439318,0.0235132620089,0.0229790292947,0.936790640824,0.932262569832,0.934357541899,0.474600870827,0.412121212121,0.441805225653,75.021406451
70,0.0167908314272,0.0175798698429,0.0171915362881,0.962895058495,0.960195530726,0.963966480447,0.749262536873,0.724637681159,0.758878504673,87.196923387
80,0.0215503259794,0.0222930795891,0.0218301332736,0.950235725511,0.945530726257,0.948882681564,0.62890625,0.576086956522,0.614736842105,99.62078743
90,0.0183268364118,0.0189750090073,0.0186181541689,0.95652173913,0.952164804469,0.956424581006,0.691449814126,0.645994832041,0.690476190476,112.94939847
100,0.0160997244986,0.0167489038745,0.0165248287611,0.967085734241,0.961941340782,0.966480446927,0.783706253586,0.74231678487,0.78102189781,125.388951299
110,0.0184992877609,0.0191170368496,0.018945619018,0.958617077004,0.95530726257,0.956703910615,0.710622710623,0.676767676768,0.695481335953,137.361812951
120,0.018586742745,0.0192849334561,0.0189154973772,0.960625109132,0.957053072626,0.959497206704,0.728803367408,0.694789081886,0.719535783366,149.070282975
130,0.0176514833902,0.0183247813257,0.0180906183979,0.962545835516,0.958798882682,0.961173184358,0.74570243035,0.710784313725,0.735238095238,162.097806193
140,0.0176976490866,0.0184083915739,0.0180549547686,0.961760083814,0.95844972067,0.961173184358,0.738663484487,0.707616707617,0.735238095238,174.813425824
150,0.0165162092981,0.0172281630352,0.0169525464453,0.966125371049,0.96124301676,0.965642458101,0.775722543353,0.73381294964,0.772643253235,186.785467753
160,0.01669847625,0.0175671770107,0.0170481958293,0.958966299983,0.955656424581,0.958379888268,0.714111922141,0.680100755668,0.70955165692,198.758533934
170,0.0171921160532,0.0177918379665,0.0176332906538,0.964815784879,0.961592178771,0.965642458101,0.765014577259,0.736842105263,0.772643253235,210.431505016
180,0.0156916971819,0.0165444632924,0.0161482740784,0.964117338921,0.960893854749,0.963407821229,0.759508484494,0.730769230769,0.754221388368,222.827452689
190,0.0159953341658,0.0170235661501,0.0162032766345,0.961498166579,0.957053072626,0.960893854749,0.73640167364,0.694789081886,0.732824427481,234.527352646
200,0.0163739584872,0.0171740598553,0.0167680859653,0.963768115942,0.960195530726,0.963966480447,0.7563123899,0.723300970874,0.758878504673,246.827156374
210,0.0145955844723,0.0155401828461,0.014916974632,0.964641173389,0.960195530726,0.964245810056,0.76357267951,0.724637681159,0.761194029851,259.078131722
220,0.0145910981964,0.0156316084129,0.0148687613474,0.963418892963,0.958798882682,0.96312849162,0.753093694755,0.710784313725,0.751879699248,271.075575754
230,0.0135323598939,0.0142323801871,0.0139903932708,0.970054129562,0.966480446927,0.969273743017,0.811434854316,0.780821917808,0.806338028169,283.829715044
240,0.0131124233229,0.0139060203361,0.0135862390567,0.97057796403,0.96717877095,0.970111731844,0.815342465753,0.786363636364,0.813263525305,296.292178884
250,0.0128736027667,0.0137389497493,0.013272789675,0.969617600838,0.966480446927,0.968715083799,0.804713804714,0.778801843318,0.799283154122,307.998242629
260,0.0128916218315,0.0137631405337,0.0132682927754,0.969704906583,0.966480446927,0.968715083799,0.80538418396,0.778801843318,0.799283154122,319.570357028
270,0.0140009620267,0.0151235961853,0.0146467220889,0.965426925092,0.96124301676,0.964245810056,0.76976744186,0.73381294964,0.760299625468,331.50426589
280,0.0134372048492,0.0143182983831,0.0140757480568,0.968569931902,0.964734636872,0.967597765363,0.795918367347,0.764568764569,0.790613718412,343.52058167
290,0.0128076880344,0.0137072558054,0.0131922310549,0.969704906583,0.966480446927,0.968994413408,0.80538418396,0.778801843318,0.801431127013,354.964942206
300,0.0134166322044,0.014353645232,0.0139519940168,0.968831849136,0.964036312849,0.968715083799,0.797962648557,0.759906759907,0.8,366.865368106
310,0.0128855124726,0.0137439326623,0.0132902013297,0.969966823817,0.966829608939,0.969273743017,0.807606263982,0.781609195402,0.803571428571,376.906650144
320,0.0128351128492,0.0137426051002,0.0132291443355,0.969704906583,0.966829608939,0.969273743017,0.805602240896,0.781609195402,0.802867383513,386.359842886
330,0.0133701568076,0.0142895194265,0.0137232050932,0.967871485944,0.962988826816,0.967318435754,0.790432801822,0.748815165877,0.786885245902,395.920931205
340,0.0140375960592,0.0148867797695,0.0146956087422,0.967522262965,0.963687150838,0.966480446927,0.787428571429,0.755868544601,0.78102189781,405.520409131
350,0.0133955914286,0.0143272181499,0.0137970448798,0.968831849136,0.965432960894,0.968156424581,0.798873239437,0.77030162413,0.794223826715,415.140164164
360,0.0132946117505,0.0142426736929,0.013638760604,0.968569931902,0.964734636872,0.967318435754,0.796149490374,0.764568764569,0.78842676311,425.537574939
370,0.0131169914332,0.014069228897,0.0134410543914,0.969442989349,0.965432960894,0.96843575419,0.803149606299,0.77030162413,0.797127468582,435.176338316
380,0.0131039820685,0.0140880063749,0.0134822667741,0.968482626157,0.965083798883,0.968156424581,0.795235394214,0.767441860465,0.794223826715,445.758227927
