iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.116913735768,0.116810470681,0.117017218401,0.71520866073,0.721019553073,0.717318435754,0.0274299344067,0.0385078219013,0.023166023166,0.027545119
10,0.113337370277,0.113257822173,0.113383005676,0.733455561376,0.739175977654,0.733798882682,0.0236648544931,0.0336351875809,0.0225641025641,0.30931087
20,0.113860751759,0.113716092775,0.113897808375,0.724201152436,0.727653631285,0.726815642458,0.0210722032848,0.0322580645161,0.022,0.605244955
30,0.117445232274,0.116868679904,0.117611710666,0.733542867121,0.735335195531,0.737430167598,0.0167525773196,0.025706940874,0.022869022869,0.905424855
40,0.117164099774,0.11658327004,0.117333515405,0.739479657761,0.740572625698,0.743575418994,0.0164798945287,0.0262123197903,0.0234042553191,1.202885278
50,0.116994403337,0.11636838784,0.117207912643,0.755805832024,0.75593575419,0.756424581006,0.0161800914527,0.0278164116829,0.0202247191011,1.489426532
60,0.117072098187,0.116449313884,0.117282799612,0.755194691811,0.755237430168,0.756145251397,0.0161403508772,0.0277392510402,0.020202020202,1.776849777
70,0.118527368716,0.11784373803,0.118688134001,0.74000349223,0.739525139665,0.742458100559,0.019749835418,0.0336787564767,0.0212314225053,2.07371265
80,0.116120205911,0.11549381121,0.116325717591,0.796228391828,0.787709497207,0.795810055866,0.0160202360877,0.0225080385852,0.0214190093708,2.37294186
90,0.114325780955,0.113673541448,0.114617436805,0.812118037367,0.801675977654,0.810893854749,0.0137488542621,0.0173010380623,0.0202604920405,2.669735095
100,0.113103632405,0.112421152239,0.113420096077,0.825475816309,0.815293296089,0.824301675978,0.0128395061728,0.0148975791434,0.0217729393468,2.965761858
110,0.11294333222,0.112296520052,0.113256402413,0.828531517374,0.820530726257,0.82905027933,0.0120724346076,0.0153256704981,0.0223642172524,3.263570955
120,0.11152293342,0.111051189171,0.111915407795,0.824602758862,0.814944134078,0.821508379888,0.0147130946542,0.0148698884758,0.0214395099541,3.556963676
130,0.112889444484,0.112387229066,0.113234003691,0.814300680985,0.805865921788,0.811452513966,0.0166435506241,0.017667844523,0.0203193033382,3.853694708
140,0.112385541724,0.111942407172,0.112726692719,0.819975554391,0.811452513966,0.817039106145,0.0162213740458,0.0181818181818,0.0209267563528,4.151389835
150,0.112385541724,0.111942407172,0.112726692719,0.819975554391,0.811452513966,0.817039106145,0.0162213740458,0.0181818181818,0.0209267563528,4.450504438
160,0.112203768918,0.111783472963,0.112617029074,0.815959490134,0.806913407821,0.814245810056,0.015873015873,0.0177619893428,0.020618556701,4.740074763
170,0.107184749783,0.10686802676,0.107637756018,0.835254059717,0.830656424581,0.837709497207,0.0166753517457,0.0122199592668,0.0202360876897,5.037509392
180,0.107220307129,0.106885011018,0.107669057395,0.835690588441,0.831005586592,0.838268156425,0.0167189132706,0.0122448979592,0.0203045685279,5.333896376
190,0.10482897405,0.104134580888,0.104772321615,0.89933647634,0.897695530726,0.9,0.0017316017316,0,0,5.628269077
200,0.113030880732,0.112178562438,0.112882942148,0.889907455911,0.889315642458,0.888826815642,0.00158353127474,0,0.005,5.935424964
210,0.113262932327,0.11240023255,0.113113368574,0.891391653571,0.890712290503,0.890223463687,0.0016051364366,0,0.00506329113924,6.239492888
220,0.119308535775,0.11851336512,0.119178566578,0.897241138467,0.896648044693,0.896368715084,0.00169635284139,0,0,6.538908883
230,0.118505709449,0.117639386569,0.11839003275,0.898638030382,0.897695530726,0.89748603352,0.00171969045572,0,0,6.837981625
240,0.119118726835,0.118260859377,0.119008539607,0.899161864851,0.899092178771,0.896927374302,0.00172860847018,0,0,7.133542697
250,0.123966983195,0.123168850618,0.12407053791,0.804522437576,0.801675977654,0.805027932961,0.00267260579065,0.00350877192982,0.00569800569801,7.430934
260,0.123965527418,0.123181027084,0.124164186537,0.803562074384,0.800977653631,0.804748603352,0.00265957446809,0.0034965034965,0.00568990042674,7.722499576
270,0.125200597594,0.124407787097,0.125576239593,0.745503754147,0.746857541899,0.738268156425,0.00545888775162,0.00820793433653,0.00636267232238,8.018820745
280,0.124688359779,0.123969221615,0.12512296188,0.746289505849,0.75,0.741899441341,0.00547570157426,0.00831024930748,0.00645161290323,8.31343656
290,0.124720987425,0.124001475362,0.125153504014,0.745067225423,0.748603351955,0.739664804469,0.00544959128065,0.00826446280992,0.00639658848614,8.608580563
300,0.125466167892,0.124725861391,0.125957163275,0.747861009254,0.752793296089,0.743016759777,0.00550964187328,0.00840336134454,0.00647948164147,8.900928503
310,0.124797095202,0.123949258921,0.125491475139,0.751527850533,0.750698324022,0.74748603352,0.00559049615653,0.00833333333333,0.00659340659341,9.187595094
320,0.136137584394,0.135293595722,0.13683604844,0.501746114894,0.497555865922,0.491899441341,0.0110899324207,0.0137080191912,0.00979858464888,9.474018912
330,0.134480375246,0.13353958831,0.135030783501,0.639252662825,0.626745810056,0.629888268156,0.0105363984674,0.00926784059314,0.0148698884758,9.769659061
340,0.138039941769,0.137172686369,0.138486229276,0.515715034049,0.506983240223,0.508379888268,0.0117584179583,0.00842696629213,0.0145576707727,10.065029967
350,0.139316283303,0.138469342894,0.139737231661,0.490832896805,0.485335195531,0.484916201117,0.0141987829615,0.0120643431635,0.0149572649573,10.358779677
360,0.139793959085,0.139065049795,0.139995920898,0.47686397765,0.462988826816,0.475977653631,0.00925925925926,0.010296010296,0.0178010471204,10.66525168
370,0.141667785984,0.140900834449,0.141814296219,0.458878994238,0.444483240223,0.458100558659,0.0102203768764,0.0099564405725,0.0192113245703,10.999737861
380,0.142278166018,0.141512776878,0.142333273936,0.459315522961,0.453561452514,0.464804469274,0.00991207034373,0.0101201771031,0.0194472876151,11.336275676
390,0.142672867034,0.141891916475,0.142705158151,0.452680286363,0.447974860335,0.457262569832,0.0101057950418,0.0100187852223,0.0191822311964,11.672422526
400,0.142507590517,0.141722047409,0.142559246695,0.459402828706,0.453910614525,0.463966480447,0.0105465004794,0.0101265822785,0.0174091141833,11.990105624
410,0.134531593492,0.1338288845,0.134736347994,0.651038938362,0.641410614525,0.649162011173,0.00744971442761,0.00387972841901,0.00946372239748,12.30275013
420,0.134569097975,0.133856981552,0.134778127694,0.641697223677,0.632332402235,0.640782122905,0.00725689404935,0.00378429517502,0.00924499229584,12.597731409
430,0.134542518197,0.133834928093,0.134748874951,0.642657586869,0.633030726257,0.640502793296,0.00727625515401,0.00379146919431,0.00923787528868,12.895480397
440,0.134455387556,0.133754190425,0.134682213502,0.643181421338,0.636173184358,0.64217877095,0.00680437424058,0.0038240917782,0.0092807424594,13.190844627
450,0.132695431618,0.132128251104,0.133002616651,0.697136371573,0.69343575419,0.690502793296,0.00401952339937,0.00453514739229,0.00894454382826,13.478254422
460,0.132003798188,0.131400239862,0.132303859343,0.702898550725,0.698673184358,0.693296089385,0.00409716125256,0.00461361014994,0.00902527075812,13.76560412
470,0.130787011545,0.13018581337,0.131044574564,0.733542867121,0.72625698324,0.724022346369,0.00326583932071,0.00254452926209,0.00803212851406,14.056577446
480,0.132776288349,0.132374504539,0.133346009751,0.708573424131,0.699720670391,0.698603351955,0.0100830367734,0.00921658986175,0.0146118721461,14.344969959
490,0.132937885555,0.132476217199,0.133514241933,0.706216169024,0.698673184358,0.696089385475,0.0111666176903,0.00918484500574,0.0144927536232,14.637790956
500,0.125407264712,0.12494825105,0.125813541672,0.775275013096,0.770600558659,0.768994413408,0.00540958268934,0.00904977375566,0.00958083832335,14.934079428
510,0.127951355755,0.127635249367,0.128275513756,0.758599615855,0.748952513966,0.755865921788,0.00718132854578,0.00827586206897,0.0135440180587,15.228729775
520,0.128681868858,0.128361623903,0.129190318215,0.724288458181,0.71717877095,0.721787709497,0.0137414116177,0.00977995110024,0.0196850393701,15.523392163
530,0.130342853065,0.130099424628,0.130809538458,0.707700366684,0.699720670391,0.704469273743,0.0141342756184,0.0114942528736,0.0203703703704,15.810607876
540,0.12215311135,0.122012481623,0.12290343488,0.740963855422,0.731843575419,0.734357541899,0.0172242464392,0.0153846153846,0.0226104830421,16.099296234
550,0.124219528336,0.123879042825,0.124800056227,0.737820848612,0.730446927374,0.732681564246,0.0170212765957,0.0178117048346,0.0244648318043,16.398826526
560,0.118364964845,0.118304346778,0.118748271438,0.792823467784,0.788407821229,0.786592178771,0.0058651026393,0.00655737704918,0.0103626943005,16.697398055
570,0.119270207146,0.11919618192,0.119712544348,0.789855072464,0.78561452514,0.785195530726,0.00331262939959,0.00647249190939,0.012836970475,16.992939649
580,0.114933500938,0.115077438842,0.115300167952,0.82198358652,0.817388268156,0.82094972067,0.00390815828041,0.00759013282732,0.0153609831029,17.287238589
590,0.118510488709,0.118685782793,0.118778918444,0.793783830976,0.787011173184,0.793296089385,0.0067283431455,0.00974025974026,0.0159574468085,17.59213119
600,0.118529465801,0.118704122586,0.118799574782,0.793783830976,0.787011173184,0.793296089385,0.0067283431455,0.00974025974026,0.0159574468085,17.884128426
610,0.116970672298,0.117146968748,0.117262915427,0.799633315872,0.791201117318,0.796089385475,0.00778210116732,0.00993377483444,0.0135135135135,18.177321738
620,0.122394211819,0.122391604616,0.122503119183,0.795180722892,0.787709497207,0.792737430168,0.00761421319797,0.00977198697068,0.0132978723404,18.470332656
630,0.121599546587,0.121528598638,0.121591109228,0.804609743321,0.799231843575,0.801955307263,0.00444839857651,0.00346620450607,0.0139082058414,18.769378059
640,0.1214985965,0.121395934062,0.121471578247,0.806792386939,0.799930167598,0.804469273743,0.00449842555106,0.00347826086957,0.0140845070423,19.064714748
650,0.123363205318,0.123477048764,0.123499650327,0.783918281823,0.774092178771,0.779608938547,0.00562474889514,0.00614439324117,0.0125156445557,19.358635346
660,0.123350332681,0.123462369282,0.1234780057,0.784267504802,0.774092178771,0.780167597765,0.0056338028169,0.00614439324117,0.0125470514429,19.655548529
670,0.123567723466,0.123679236856,0.123667150184,0.783656364589,0.772695530726,0.780167597765,0.00561797752809,0.00610687022901,0.0125470514429,19.951084316
680,0.121486212759,0.121450840505,0.121531022978,0.812205343112,0.804120111732,0.806983240223,0.00462748727441,0.0070796460177,0.0142653352354,20.245888534
690,0.121127033336,0.121421042084,0.121239329686,0.809062336302,0.800279329609,0.805865921788,0.00545702592087,0.00694444444444,0.0141843971631,20.531056958
