step,reward,mean,median,std,max,min
0,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.0,0.014084507042253521,0.014084507042253521
1,0.014925373134328358,0.01450494008829094,0.01450494008829094,0.00042043304603741824,0.014925373134328358,0.014084507042253521
2,0.02702702702702703,0.018678969067869634,0.014925373134328358,0.0059129416093451955,0.02702702702702703,0.014084507042253521
3,0.0,0.014009226800902226,0.01450494008829094,0.00957296387626894,0.02702702702702703,0.0
4,0.0,0.011207381440721781,0.014084507042253521,0.010233018107603386,0.02702702702702703,0.0
5,0.006993006993006993,0.010504985699435983,0.010538757017630258,0.00947254006126821,0.02702702702702703,0.0
6,0.0,0.009004273456659414,0.006993006993006993,0.009509122350744536,0.02702702702702703,0.0
7,0.02631578947368421,0.011168212958787513,0.010538757017630258,0.010578228636134853,0.02702702702702703,0.0
8,0.015873015873015872,0.01169096883814622,0.014084507042253521,0.010082256557955017,0.02702702702702703,0.0
9,0.017241379310344827,0.01224600988536608,0.01450494008829094,0.009708725078365054,0.02702702702702703,0.0
10,0.034482758620689655,0.014267532497668222,0.014925373134328358,0.011249704361360396,0.034482758620689655,0.0
11,0.013333333333333334,0.014189682567306981,0.01450494008829094,0.010773866263389694,0.034482758620689655,0.0
12,0.016129032258064516,0.01433886331274987,0.014925373134328358,0.01036408775430955,0.034482758620689655,0.0
13,0.018518518518518517,0.014637410113161916,0.015399194503672116,0.010044926898965965,0.034482758620689655,0.0
14,0.02702702702702703,0.015463384574086256,0.015873015873015872,0.010184553303242526,0.034482758620689655,0.0
15,0.006211180124223602,0.01488512179596984,0.015399194503672116,0.010112275867516184,0.034482758620689655,0.0
16,0.022727272727272728,0.015346424791928832,0.015873015873015872,0.009982371800688172,0.034482758620689655,0.0
17,0.01639344262295082,0.015404592449207832,0.016001024065540194,0.009704085734043744,0.034482758620689655,0.0
18,0.043478260869565216,0.016882153945016114,0.016129032258064516,0.011336242127466194,0.043478260869565216,0.0
19,0.011494252873563218,0.01661275889144347,0.016001024065540194,0.011111425043477143,0.043478260869565216,0.0
20,0.0,0.015821675134708064,0.015873015873015872,0.011406174193136996,0.043478260869565216,0.0
21,0.02564102564102564,0.01626800924863159,0.016001024065540194,0.011330076501118305,0.043478260869565216,0.0
